ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,VOTES
S24,Uttar Pradesh,1,Behat,Naresh Saini,M,53,GEN,INC,97035
S24,Uttar Pradesh,1,Behat,Mahaveer Singh Rana,M,55,GEN,BJP,71449
S24,Uttar Pradesh,1,Behat,Mohd. Iqbal,M,52,GEN,BSP,71019
S24,Uttar Pradesh,1,Behat,Rana Aditya Pratap Singh,M,49,GEN,IND,4187
S24,Uttar Pradesh,1,Behat,NOTA,NOTA,NOTA,NOTA,NOTA,1576
S24,Uttar Pradesh,1,Behat,Kamran Ali,M,37,GEN,BHASP,1255
S24,Uttar Pradesh,1,Behat,Arun,M,38,GEN,RLD,1150
S24,Uttar Pradesh,1,Behat,Hardhyan,M,39,SC,IND,1113
S24,Uttar Pradesh,1,Behat,Gopal Singh,M,32,GEN,IND,945
S24,Uttar Pradesh,1,Behat,Krishna Kumar,M,35,SC,IND,810
S24,Uttar Pradesh,1,Behat,Kalyan Singh,M,45,GEN,IND,659
S24,Uttar Pradesh,1,Behat,Lokesh Verma,M,34,GEN,BHATARSP,617
S24,Uttar Pradesh,1,Behat,Sakeem Khan,M,42,GEN,BMUP,425
S24,Uttar Pradesh,1,Behat,Karm Singh,M,57,GEN,IND,319
S24,Uttar Pradesh,2,Nakur,Dr. Dharam Singh Saini,M,60,GEN,BJP,94375
S24,Uttar Pradesh,2,Nakur,Imran Masood,M,46,GEN,INC,90318
S24,Uttar Pradesh,2,Nakur,Naveen Choudhary,M,38,GEN,BSP,65328
S24,Uttar Pradesh,2,Nakur,NOTA,NOTA,NOTA,NOTA,NOTA,1232
S24,Uttar Pradesh,2,Nakur,Kamal Garg,M,43,GEN,IND,944
S24,Uttar Pradesh,2,Nakur,Vijaypal Singh,M,56,GEN,IND,814
S24,Uttar Pradesh,2,Nakur,Rajpal Singh,M,59,GEN,IND,813
S24,Uttar Pradesh,2,Nakur,Ramkumar,M,30,GEN,RLD,783
S24,Uttar Pradesh,2,Nakur,Parvesh Kumar,M,40,GEN,ASP,295
S24,Uttar Pradesh,2,Nakur,Indu,F,45,GEN,IND,245
S24,Uttar Pradesh,2,Nakur,Rajiv Saini,M,41,GEN,BMUP,245
S24,Uttar Pradesh,2,Nakur,Arvind,M,37,SC,IND,140
S24,Uttar Pradesh,3,Saharanpur Nagar,Sanjay Garg,M,59,GEN,SP,127210
S24,Uttar Pradesh,3,Saharanpur Nagar,Rajiv Gumber,M,47,GEN,BJP,122574
S24,Uttar Pradesh,3,Saharanpur Nagar,Mukesh Dixit,M,47,GEN,BSP,17350
S24,Uttar Pradesh,3,Saharanpur Nagar,Bhoora Malik,M,40,GEN,RLD,934
S24,Uttar Pradesh,3,Saharanpur Nagar,Talat Khan,F,58,GEN,AIMIM,693
S24,Uttar Pradesh,3,Saharanpur Nagar,NOTA,NOTA,NOTA,NOTA,NOTA,675
S24,Uttar Pradesh,3,Saharanpur Nagar,Shabnam,F,26,GEN,IND,594
S24,Uttar Pradesh,3,Saharanpur Nagar,Zainul Aabideen Siddiqui,M,48,GEN,PBI,494
S24,Uttar Pradesh,3,Saharanpur Nagar,Roshan Singh,M,26,GEN,IND,409
S24,Uttar Pradesh,3,Saharanpur Nagar,Bharat Raj,M,34,SC,BMUP,386
S24,Uttar Pradesh,3,Saharanpur Nagar,Shiv Kumar Gupta,M,62,GEN,IND,286
S24,Uttar Pradesh,3,Saharanpur Nagar,Shiv Kumar,M,44,SC,SWAJANPA,265
S24,Uttar Pradesh,3,Saharanpur Nagar,Vinay Dhiman,M,38,GEN,OP,255
S24,Uttar Pradesh,3,Saharanpur Nagar,Ravinder Arora,M,51,GEN,SHS,223
S24,Uttar Pradesh,3,Saharanpur Nagar,Mohd. Mursleen,M,29,GEN,IND,161
S24,Uttar Pradesh,4,Saharanpur,Masood Akhtar,M,54,GEN,INC,87689
S24,Uttar Pradesh,4,Saharanpur,Jagpal Singh,M,58,SC,BSP,75365
S24,Uttar Pradesh,4,Saharanpur,Manoj Chaudhary,M,44,GEN,BJP,58752
S24,Uttar Pradesh,4,Saharanpur,Saad Ali Khan,M,33,GEN,IND,10950
S24,Uttar Pradesh,4,Saharanpur,NOTA,NOTA,NOTA,NOTA,NOTA,968
S24,Uttar Pradesh,4,Saharanpur,Ayyub Hasan,M,60,GEN,RLD,822
S24,Uttar Pradesh,4,Saharanpur,Amjad Ali,M,33,GEN,LD,774
S24,Uttar Pradesh,4,Saharanpur,Shabnoor Begum,F,39,GEN,IND,596
S24,Uttar Pradesh,4,Saharanpur,Vikram Saini,M,37,GEN,IND,399
S24,Uttar Pradesh,4,Saharanpur,Parvesh Kumar,M,36,SC,IND,376
S24,Uttar Pradesh,4,Saharanpur,Suleman,M,55,GEN,BMUP,256
S24,Uttar Pradesh,4,Saharanpur,Sachin Kumar,M,26,GEN,BHATARSP,220
S24,Uttar Pradesh,4,Saharanpur,Bablu,M,30,SC,ASP,155
S24,Uttar Pradesh,4,Saharanpur,Naushad,M,29,GEN,JANADIP,146
S24,Uttar Pradesh,5,Deoband,Brijesh,M,44,GEN,BJP,102244
S24,Uttar Pradesh,5,Deoband,Majid Ali,M,50,GEN,BSP,72844
S24,Uttar Pradesh,5,Deoband,Mavia Ali,M,46,GEN,SP,55385
