ST_NAME,AC_NAME,AC_NO,CANDIDATE,PARTY,VOTES
Bihar,KATIHAR,63,Sanjay Singh @ Bhai Sanjeev,IND,504
Bihar,KATIHAR,63,Samir Kumar Jha,IND,410
Bihar,KADWA,64,Dulal Chandra Goswami,JD(U),99274
Bihar,KADWA,64,Shakeel Ahmad Khan,INC,80906
Bihar,KADWA,64,Md Shakir Reza,AIMIM,11557
Bihar,KADWA,64,Himraj Singh,IND,5615
Bihar,KADWA,64,Nota,NOTA,3818
Bihar,KADWA,64,Sadiq Hussain,IND,2967
Bihar,KADWA,64,Md. Shaharyar,JNSRJP,1169
Bihar,KADWA,64,Vidyanand Mandal,BSP,1114
Bihar,KADWA,64,Anmol Kumar,VPI,984
Bihar,KADWA,64,Suresh Yadav,IND,963
Bihar,KADWA,64,Rajeev Ranjan,IND,891
Bihar,KADWA,64,Sajan Kumar,IND,877
Bihar,KADWA,64,Asha Suman,IND,874
Bihar,KADWA,64,Md. Shamiuddin,MNDP,822
Bihar,KADWA,64,Mohammad Razaul Haque Alias Dr. M.r. Haque,IND,604
Bihar,KADWA,64,Pramod Das,IND,381
Bihar,KADWA,64,Sunil Kumar Mandal,PPID,339
Bihar,BALRAMPUR,65,Sangita Devi,LJPRV,80459
Bihar,BALRAMPUR,65,Mohammad Adil Hasan,AIMIM,80070
Bihar,BALRAMPUR,65,Mahboob Alam,CPI(ML)(L),79141
Bihar,BALRAMPUR,65,Md. Moazzam Hussain,IND,9195
Bihar,BALRAMPUR,65,Barun Kumar Jha,IND,5372
Bihar,BALRAMPUR,65,Md. Zinnah,IND,3446
Bihar,BALRAMPUR,65,Nota,NOTA,3185
Bihar,BALRAMPUR,65,Ashab Alam,JNSRJP,2614
Bihar,BALRAMPUR,65,Roshan Agrawal,IND,2282
Bihar,BALRAMPUR,65,Md Nasrul Haque,IND,2080
Bihar,BALRAMPUR,65,Haji Shafiqul Haque Pradhan,IND,1648
Bihar,BALRAMPUR,65,Shakir Alam,IND,1442
Bihar,BALRAMPUR,65,Priya Kumari Roy,BSP,1438
Bihar,BALRAMPUR,65,Md. Aftab Alam Ruknavi,IND,1016
Bihar,BALRAMPUR,65,Md. Shahid Shaikh,TPLRSP,885
Bihar,BALRAMPUR,65,Sujit Paswan,IND,844
Bihar,BALRAMPUR,65,Tanweer Shamsi,IND,775
Bihar,BALRAMPUR,65,Ajad Kha,IND,645
Bihar,BALRAMPUR,65,Md Kamaluddin,IND,537
Bihar,PRANPUR,66,Nisha Singh,BJP,108565
Bihar,PRANPUR,66,Ishrat Parween,RJD,100813
Bihar,PRANPUR,66,Md Aftab Alam,AIMIM,30163
Bihar,PRANPUR,66,Nota,NOTA,3313
Bihar,PRANPUR,66,Kunal Nishad,JNSRJP,2467
Bihar,PRANPUR,66,Subhashchandra Sah,IND,2048
Bihar,PRANPUR,66,Prem Kumar Mandal,BSP,1265
Bihar,PRANPUR,66,Manoj Murmu,IND,1263
Bihar,PRANPUR,66,Satya Narayan Mandal,IND,1263
Bihar,PRANPUR,66,Sanjay Kumar,IND,976
Bihar,PRANPUR,66,Subhash Kumar Yadav,SBKP,943
Bihar,PRANPUR,66,Mohammad Musha,IND,640
Bihar,PRANPUR,66,Abdus Salam,IND,520
Bihar,PRANPUR,66,Md Naiyar Alam,IND,293
Bihar,MANIHARI (ST),67,Manohar Prasad Singh,INC,114754
Bihar,MANIHARI (ST),67,Shambhu Kumar Suman,JD(U),99586
Bihar,MANIHARI (ST),67,Bablu Soren,JNSRJP,7647
Bihar,MANIHARI (ST),67,Saif Ali Khan,NCP,4865
Bihar,MANIHARI (ST),67,Ram Ratan Prasad,RASLJP,3761
Bihar,MANIHARI (ST),67,Nota,NOTA,2941
Bihar,MANIHARI (ST),67,Nalinee Mandal,AAAP,2738
Bihar,MANIHARI (ST),67,Upendra Mandal,BSP,1967
Bihar,BARARI,68,Bijay Singh,JD(U),107842
Bihar,BARARI,68,Tauquir Alam,INC,96858
Bihar,BARARI,68,Md Matiur Rahman,AIMIM,5846
Bihar,BARARI,68,Shivpujan Paswan,IND,4962
Bihar,BARARI,68,Nota,NOTA,3047
Bihar,BARARI,68,Pritam Prasoon,JNSRJP,3026
Bihar,BARARI,68,Satya Narayan Agrawal,IND,1577
Bihar,BARARI,68,Raj Kishor Yadav,IND,1453
Bihar,BARARI,68,Dwarika Mandal,BSP,1271
Bihar,BARARI,68,Md Nasim,IND,744
Bihar,BARARI,68,Md Mojahid Alam,IND,546
Bihar,BARARI,68,Niranjan Kumar Jha,IND,420
Bihar,BARARI,68,Md Mahboob,BHJJP,378
Bihar,BARARI,68,Arun Kumar Jaiswal,IND,369
Bihar,BARARI,68,Ratan Kumar,VVCIP,255
Bihar,KORHA (SC),69,Kavita Devi,BJP,123495
Bihar,KORHA (SC),69,Punam Kumari @ Punam Paswan,INC,101238
Bihar,KORHA (SC),69,Nirmal Kumar Raj,JNSRJP,4028
Bihar,KORHA (SC),69,Nota,NOTA,3162
Bihar,KORHA (SC),69,Ravindra Kumar,BSP,1469
Bihar,KORHA (SC),69,Kapildev Paswan,IND,1405
Bihar,KORHA (SC),69,Vinod Kumar Mirdha,IND,1346
Bihar,KORHA (SC),69,Wakil Das,IND,1248
Bihar,KORHA (SC),69,Tufani Das,PPID,914
Bihar,ALAMNAGAR,70,Narendra Narayan Yadav,JD(U),138401
Bihar,ALAMNAGAR,70,Nabin Kumar,VSIP,82936
Bihar,ALAMNAGAR,70,Subodh Kumar Suman,JNSRJP,8934
Bihar,ALAMNAGAR,70,Nota,NOTA,7959
Bihar,ALAMNAGAR,70,Rubi Kumari,IND,4695
Bihar,ALAMNAGAR,70,Vikram Kumar Gupta,IND,3178
Bihar,ALAMNAGAR,70,Binod Ashish,IND,2707
Bihar,ALAMNAGAR,70,Akhatar Mansuri,TNRMPI,2576
Bihar,ALAMNAGAR,70,Chano Rishidev,IND,2161
Bihar,ALAMNAGAR,70,Mohan Sharma,RJBP,1791
Bihar,ALAMNAGAR,70,Amar Kumar Singh,IND,1043
Bihar,BIHARIGANJ,71,Niranjan Kumar Mehta,JD(U),116622
Bihar,BIHARIGANJ,71,Renu Kumari,RJD,85000
Bihar,BIHARIGANJ,71,Nota,NOTA,5915
Bihar,BIHARIGANJ,71,Karn Kumar Mishra,IND,5372
Bihar,BIHARIGANJ,71,Amlesh Roy,JNSRJP,4486
Bihar,BIHARIGANJ,71,Pankaj Kumar Jaiswal,SUCI,2493
Bihar,BIHARIGANJ,71,Rabindra Kumar,BSP,2199
Bihar,BIHARIGANJ,71,Mohammad Sajam,IND,1659
Bihar,SINGHESHWAR (SC),72,Ramesh Rishi,JD(U),106416
Bihar,SINGHESHWAR (SC),72,Chandrahas Chaupal,RJD,103434
Bihar,SINGHESHWAR (SC),72,Nota,NOTA,5895
Bihar,SINGHESHWAR (SC),72,Virendra Kumar Sharma,IND,3978
Bihar,SINGHESHWAR (SC),72,Pramod Kumar Ram,JNSRJP,3516
Bihar,SINGHESHWAR (SC),72,Subhash Kumar,BSP,1924
Bihar,SINGHESHWAR (SC),72,Manju Devi,IND,1909
Bihar,SINGHESHWAR (SC),72,Bambam Kumar,IND,1184
Bihar,SINGHESHWAR (SC),72,Bablu Rishidev,IND,918
Bihar,MADHEPURA,73,Chandra Shekhar,RJD,108464
Bihar,MADHEPURA,73,Kavita Kumari Saha,JD(U),100655
Bihar,MADHEPURA,73,Pranav Prakash,IND,7894
Bihar,MADHEPURA,73,Nota,NOTA,5828
Bihar,MADHEPURA,73,Shashi Kumar,JNSRJP,4634
Bihar,MADHEPURA,73,Mukesh Kumar,AAAP,3652
Bihar,MADHEPURA,73,Sanjay Kumar,IND,2819
Bihar,MADHEPURA,73,Surendra Yadav,PBI,1751
Bihar,MADHEPURA,73,Sanjay Yadav,JNSKJNDL,1278
Bihar,MADHEPURA,73,Mohammad Asif Alam,TNRMPI,889
Bihar,MADHEPURA,73,Lalan Kumar Ram,BSP,781
Bihar,MADHEPURA,73,Pradeep Kumar,JRJP,497
Bihar,MADHEPURA,73,Kameshwar Yadav,AMiP,448
Bihar,SONBARSHA (SC),74,Ratnesh Sada,JD(U),97833
Bihar,SONBARSHA (SC),74,Sarita Devi,INC,84379
Bihar,SONBARSHA (SC),74,Satyendra Kumar,JNSRJP,5655
Bihar,SONBARSHA (SC),74,Nota,NOTA,5522
Bihar,SONBARSHA (SC),74,Kiran Devi,BSP,5019
Bihar,SONBARSHA (SC),74,Rajesh Ram,IND,4038
Bihar,SONBARSHA (SC),74,Parmod Sada,IND,3998
Bihar,SAHARSA,75,Indrajeet Prasad Gupta,IIP,115036
Bihar,SAHARSA,75,Alok Ranjan,BJP,112998
Bihar,SAHARSA,75,Kishor Kumar,JNSRJP,12786
Bihar,SAHARSA,75,Devchandra Yadav,IND,4353
Bihar,SAHARSA,75,Amar Shankar,SWDP,2964
Bihar,SAHARSA,75,Nota,NOTA,2607
Bihar,SAHARSA,75,Mohammad Amirul Hasan,RJBP,2304
Bihar,SAHARSA,75,Ajablal Mehta,BSP,2236
Bihar,SAHARSA,75,Ramesh Sah,IND,2055
Bihar,SAHARSA,75,Mohammad Nazir,IND,1567
Bihar,SAHARSA,75,Bittu Kumar,RSPS,857
Bihar,SIMRI BAKHTIARPUR,76,Sanjay Kumar Singh,LJPRV,109699
Bihar,SIMRI BAKHTIARPUR,76,Yusuf Salahuddin,RJD,101769
Bihar,SIMRI BAKHTIARPUR,76,Vikash Raj,IND,7493
Bihar,SIMRI BAKHTIARPUR,76,Nota,NOTA,4996
Bihar,SIMRI BAKHTIARPUR,76,Surendra Kumar Yadav,JNSRJP,2270
Bihar,SIMRI BAKHTIARPUR,76,Rajkumar Sada,IND,1436
Bihar,SIMRI BAKHTIARPUR,76,Sunita Devi,BSP,1387
Bihar,SIMRI BAKHTIARPUR,76,Barun Kumar Yadav,IND,1081
Bihar,SIMRI BAKHTIARPUR,76,Yogbir Roy,IND,695
Bihar,SIMRI BAKHTIARPUR,76,Yapura Wadat,IND,565
Bihar,SIMRI BAKHTIARPUR,76,Domi Sharma,IND,536
Bihar,SIMRI BAKHTIARPUR,76,Pintu Kumar Sharma,JRJP,531
Bihar,SIMRI BAKHTIARPUR,76,Pankaj Kumar,IND,420
Bihar,SIMRI BAKHTIARPUR,76,Awdhesh Kumar,IND,333
Bihar,SIMRI BAKHTIARPUR,76,Anand Ranjan,IND,258
Bihar,SIMRI BAKHTIARPUR,76,Bibhuti Singh,RSTJLKPS,256
Bihar,MAHISHI,77,Gautam Krishna,RJD,93752
Bihar,MAHISHI,77,Gunjeshwar Sah,JD(U),90012
Bihar,MAHISHI,77,Nota,NOTA,6671
Bihar,MAHISHI,77,Suraj Samrat,IND,3142
Bihar,MAHISHI,77,Shamim Akhtar,JNSRJP,2571
Bihar,MAHISHI,77,Priyanka Anand,BSP,1207
Bihar,MAHISHI,77,Sushil Kumar Rajak,IND,1201
Bihar,MAHISHI,77,Vijay Kumar Gupta,AAAP,847
Bihar,MAHISHI,77,Ranjit Sada,IND,758
Bihar,MAHISHI,77,Arvind Kumar,IND,653
Bihar,MAHISHI,77,Raja Kumar,IND,567
Bihar,MAHISHI,77,Rahul Paswan,IND,519
Bihar,MAHISHI,77,Maharudra Jha,IND,398
Bihar,MAHISHI,77,Devnarayan Yadav,JNSKJNDL,338
Bihar,MAHISHI,77,Tiro Sharma,IND,330
Bihar,KUSHESHWAR ASTHAN (SC),78,Atirek Kumar,JD(U),85685
Bihar,KUSHESHWAR ASTHAN (SC),78,Ganesh Bharti,IND,49244
Bihar,KUSHESHWAR ASTHAN (SC),78,Shatrudhan Paswan,JNSRJP,6488
Bihar,KUSHESHWAR ASTHAN (SC),78,Nota,NOTA,6451
Bihar,KUSHESHWAR ASTHAN (SC),78,Satya Narayan Paswan,MZEKP,5127
Bihar,KUSHESHWAR ASTHAN (SC),78,Yogi Chaupal,AAAP,3464
Bihar,KUSHESHWAR ASTHAN (SC),78,Sachidanand Paswan,IND,2171
Bihar,KUSHESHWAR ASTHAN (SC),78,Shreemati Anju Devi,IND,2142
Bihar,KUSHESHWAR ASTHAN (SC),78,Ganga Paswan,IND,1206
Bihar,KUSHESHWAR ASTHAN (SC),78,Jeebachh Kumar Hajari,IND,1201
Bihar,KUSHESHWAR ASTHAN (SC),78,Dukhi Ram Rasiya,AJPP,797
Bihar,GAURA BAURAM,79,Sujit Kumar,BJP,77682
Bihar,GAURA BAURAM,79,Afzal Ali Khan,RJD,72013
Bihar,GAURA BAURAM,79,Shyam Sundar Choudhary,IND,6549
Bihar,GAURA BAURAM,79,Nota,NOTA,3663
Bihar,GAURA BAURAM,79,Akhtar Shahansha,AIMIM,3243
Bihar,GAURA BAURAM,79,Dr Md Iftekhar Alam,JNSRJP,2506
Bihar,GAURA BAURAM,79,Bachelal Jha,IND,716
Bihar,GAURA BAURAM,79,Pankaj Kumar Sahu,IND,437
Bihar,GAURA BAURAM,79,Santosh Sahani,VSIP,393
Bihar,GAURA BAURAM,79,Nand Kishore Sharma,IND,350
Bihar,GAURA BAURAM,79,Saroj Chaudhary,mimm,279
Bihar,GAURA BAURAM,79,Krishan Kumar,IND,209
Bihar,GAURA BAURAM,79,Soni Devi,RTJPS,183
Bihar,BENIPUR,80,Binay Kumar Choudhary,JD(U),84207
Bihar,BENIPUR,80,Mithilesh Kumar Choudhary,INC,70604
Bihar,BENIPUR,80,Amresh Kumar Amar,JNSRJP,6558
Bihar,BENIPUR,80,Chun Chun Jha,IND,6532
Bihar,BENIPUR,80,Avadhesh Kumar Jha,IND,5428
Bihar,BENIPUR,80,Mahendra Narayan Mahto,IND,4457
Bihar,BENIPUR,80,Nota,NOTA,3108
Bihar,BENIPUR,80,Pramod Paswan,BSP,2001
Bihar,BENIPUR,80,Imtiyaz Ahmad,IND,1422
Bihar,BENIPUR,80,Siya Lakhan Yadav,OPNPPLSP,863
Bihar,BENIPUR,80,Vidyanand Ram,WAP,816
Bihar,BENIPUR,80,Pramila Jha,BTMSP,714
Bihar,BENIPUR,80,Amarjee Mishra,IND,699
Bihar,BENIPUR,80,Pramod Kumar Sahu,RSLAP,565
Bihar,BENIPUR,80,Shankar Dom Urf Shankar Mallik,AJPP,392
Bihar,ALINAGAR,81,Maithili Thakur,BJP,84915
Bihar,ALINAGAR,81,Binod Mishra,RJD,73185
Bihar,ALINAGAR,81,Nota,NOTA,4751
Bihar,ALINAGAR,81,Saifuddin Ahmed,IND,2803
Bihar,ALINAGAR,81,Biplaw Kumar Choudhary,JNSRJP,2275
Bihar,ALINAGAR,81,Rajipal Jha,AAAP,1484
Bihar,ALINAGAR,81,Hari Lal Sharma,IND,870
Bihar,ALINAGAR,81,Chandu Chaudhry,IND,778
Bihar,ALINAGAR,81,Navijan Ansari,AJPP,671
Bihar,ALINAGAR,81,Sanjay Kumar Jha,MTLWDP,422
Bihar,ALINAGAR,81,Sitambar Sharma,JRJP,331
Bihar,ALINAGAR,81,Ganesh Choudhary,IND,320
Bihar,ALINAGAR,81,Nooruddin Zangi,SDPI,312
Bihar,DARBHANGA RURAL,82,Rajesh Kumar Mandal,JD(U),80624
Bihar,DARBHANGA RURAL,82,Lalit Kumar Yadav,RJD,62232
Bihar,DARBHANGA RURAL,82,Md Jalaluddin Sahil,AIMIM,17008
Bihar,DARBHANGA RURAL,82,Shyam Paswan,IND,4638
Bihar,DARBHANGA RURAL,82,Nota,NOTA,4516
Bihar,DARBHANGA RURAL,82,Shoaib Ahmed Khan,JNSRJP,3814
Bihar,DARBHANGA RURAL,82,Ram Sukamar Yadav,IND,2901
Bihar,DARBHANGA RURAL,82,Jai Kishun Sahni,IND,2330
Bihar,DARBHANGA RURAL,82,Jagat Narayan Nayak,BSP,2118
Bihar,DARBHANGA RURAL,82,Mohammad Kalam,BJNJGD,744
Bihar,DARBHANGA RURAL,82,Abdul Quddus,IND,639
Bihar,DARBHANGA RURAL,82,Uday Chandra Chaupal,IND,585
Bihar,DARBHANGA RURAL,82,Pradeep Kumar Mishra,AJPP,472
Bihar,DARBHANGA RURAL,82,Roshan,VIPty,427
Bihar,DARBHANGA,83,Sanjay Saraogi,BJP,97453
Bihar,DARBHANGA,83,Umesh Sahani,VSIP,72860
Bihar,DARBHANGA,83,R K Mishra,JNSRJP,11758
Bihar,DARBHANGA,83,Nafisul Haque,IND,2314
Bihar,DARBHANGA,83,Md Shaquib Najmi,ABHSLP,1856
Bihar,DARBHANGA,83,Abhishek Kumar Jha,MTLWDP,1628
Bihar,DARBHANGA,83,Ashish Ranjan,AJPP,1513
Bihar,DARBHANGA,83,Nota,NOTA,1468
Bihar,DARBHANGA,83,Pushpam Priya,TPLRSP,1403
Bihar,DARBHANGA,83,Sujeet Kumar Chaudhary,IND,1363
Bihar,DARBHANGA,83,Durga Nanda Mahavir Nayak,BSP,953
Bihar,DARBHANGA,83,Ranjeet Kumar Ram,WAP,852
Bihar,DARBHANGA,83,Amajad Khan,IND,470
Bihar,DARBHANGA,83,Mojahid Alam,SUCI,345
Bihar,HAYAGHAT,84,Ram Chandra Prasad,BJP,77222
Bihar,HAYAGHAT,84,Shyam Bharti,CPI(M),65383
Bihar,HAYAGHAT,84,Pratibha Singh,JNSRJP,5759
Bihar,HAYAGHAT,84,Mohammad Mahtab Alam,IND,3667
Bihar,HAYAGHAT,84,Probhendra Jha,IND,3578
Bihar,HAYAGHAT,84,Nota,NOTA,2767
Bihar,HAYAGHAT,84,Lakshmi Das,IND,2379
Bihar,HAYAGHAT,84,Ravindra Nath Singh,AAAP,1922
Bihar,HAYAGHAT,84,Jagnnath Singh,JNSKJNDL,1465
Bihar,HAYAGHAT,84,Irshad Ali,DJHP,1200
Bihar,HAYAGHAT,84,Harsha Narayan Pandit,BGDRPP,1137
Bihar,HAYAGHAT,84,Nageshwar Das,BSP,1115
Bihar,HAYAGHAT,84,Naresh Kumar Nawal,IND,1001
Bihar,HAYAGHAT,84,Usha Akela,IND,440
Bihar,BAHADURPUR,85,Madan Sahni,JD(U),96300
Bihar,BAHADURPUR,85,Bhola Yadav,RJD,84289
Bihar,BAHADURPUR,85,Ram Chatur Sahni,IND,6312
Bihar,BAHADURPUR,85,Mohammad Amir Haidar,JNSRJP,5579
Bihar,BAHADURPUR,85,Pranay Prabhakar Alias Rahul Jee,BSP,2759
Bihar,BAHADURPUR,85,Vinai Kumar Singh,IND,2379
Bihar,BAHADURPUR,85,Ram Gulam Thakur,IND,2320
Bihar,BAHADURPUR,85,Nota,NOTA,1993
Bihar,BAHADURPUR,85,Dileep Kumar,IND,1778
Bihar,BAHADURPUR,85,Sanjay Prasad Ojha,IND,1712
Bihar,BAHADURPUR,85,Suresh Prasad Singh,RASLJP,1586
Bihar,BAHADURPUR,85,Anju Devi,BGDRPP,1468
Bihar,BAHADURPUR,85,Umesh Choudhary,IND,1262
Bihar,BAHADURPUR,85,Sanjay Kumar Singh,IND,816
Bihar,BAHADURPUR,85,Ranjeet Sharma,GNTKSP,768
Bihar,BAHADURPUR,85,Birendra Kumar Paswan,RPIBA,737
Bihar,BAHADURPUR,85,Asad Ali,IND,404
Bihar,BAHADURPUR,85,Rajnish Kumar,JNTRAAWJP,401
Bihar,KEOTI,86,Murari Mohan Jha,BJP,89123
Bihar,KEOTI,86,Faraz Fatmi,RJD,81818
Bihar,KEOTI,86,Mohammad Anisur Rahman,AIMIM,7474
Bihar,KEOTI,86,Biltu Sahni,JNSRJP,4816
Bihar,KEOTI,86,Dhirendra Kumar Dheeraj,IND,3895
Bihar,KEOTI,86,Nota,NOTA,2454
Bihar,KEOTI,86,Manoj Kumar Mahto,BSP,964
Bihar,KEOTI,86,Balaram Thakur,IND,737
Bihar,KEOTI,86,Gulab Babu Rain,IND,541
Bihar,KEOTI,86,Yogesh Ranjan,PSS,460
Bihar,KEOTI,86,Mohammad Pintu Khan,ABHSLP,306
Bihar,JALE,87,Jibesh Kumar,BJP,100496
Bihar,JALE,87,Rishi Mishra,INC,78634
Bihar,JALE,87,Ranjit Sharma,JNSRJP,5150
Bihar,JALE,87,Faishal Rahman,AIMIM,4666
Bihar,JALE,87,Maskoor Ahmad Usmani,IND,4605
Bihar,JALE,87,Nota,NOTA,2808
Bihar,JALE,87,Mohammad Piyare,IND,1865
Bihar,JALE,87,Rohit Kumar,BSP,1246
Bihar,JALE,87,Syed Md Mahtab,TPLRSP,502
Bihar,JALE,87,Mumtaz Ali,JMVP,393
Bihar,GAIGHAT,88,Komal Singh,JD(U),108104
Bihar,GAIGHAT,88,Niranjan Roy,RJD,84687
Bihar,GAIGHAT,88,Ashok Kumar Singh,JNSRJP,10790
Bihar,GAIGHAT,88,Subodh Kumar Singh,IND,6157
Bihar,GAIGHAT,88,Nota,NOTA,3788
Bihar,GAIGHAT,88,Mithilesh Manjhi,IND,3264
Bihar,GAIGHAT,88,Kunal Kumar,JSHMP,2969
Bihar,GAIGHAT,88,Ishrat Perween,BSP,2794
Bihar,GAIGHAT,88,Umesh Prasad Singh,JNSKJNDL,1226
Bihar,AURAI,89,Rama Nishad,BJP,104085
Bihar,AURAI,89,Bhogendra Sahni,VSIP,46879
Bihar,AURAI,89,Md. Aftab Alam,ASPKR,31430
Bihar,AURAI,89,Akhilesh Kumar,IND,8915
Bihar,AURAI,89,Radha Raman,JNSRJP,8705
Bihar,AURAI,89,Nota,NOTA,3443
Bihar,AURAI,89,Sheo Shankar Gupta,AAAP,3333
Bihar,AURAI,89,Harischandra Prasad Yadav,IND,1130
Bihar,MINAPUR,90,Ajay Kumar,JD(U),113411
Bihar,MINAPUR,90,Rajeev Kumar Urf Munna Yadav,RJD,79173
Bihar,MINAPUR,90,Nota,NOTA,7805
Bihar,MINAPUR,90,Tej Narayan Sahni,JNSRJP,6633
Bihar,MINAPUR,90,Kumar Pushpendra,BSP,3162
Bihar,MINAPUR,90,Sanjiv Chaudhri,IND,2654
Bihar,MINAPUR,90,Santosh Kumar,IND,2179
Bihar,MINAPUR,90,Jitendra Prasad,RJBP,1502
Bihar,MINAPUR,90,Shiv Kumar Yadav,SUCI,1050
Bihar,MINAPUR,90,Dharmvir Kumar Sharma,JRJP,807
Bihar,MINAPUR,90,Deenanath Prasad,IND,750
Bihar,MINAPUR,90,Ramesh Kumar,IND,717
Bihar,BOCHAHAN (SC),91,Baby Kumari,LJPRV,108186
Bihar,BOCHAHAN (SC),91,Amar Kumar Paswan,RJD,87870
Bihar,BOCHAHAN (SC),91,Umesh Kumar Rajak,JNSRJP,5255
Bihar,BOCHAHAN (SC),91,Nota,NOTA,3815
Bihar,BOCHAHAN (SC),91,Rajgeer Paswan,BJKVP,3812
Bihar,BOCHAHAN (SC),91,Deepmala Devi,IND,2928
Bihar,BOCHAHAN (SC),91,Dr. Abhay Kumar,AAAP,2731
Bihar,BOCHAHAN (SC),91,Jaymangal Ram,RJBP,2280
Bihar,BOCHAHAN (SC),91,Rahul Kumar,BSP,1976
Bihar,SAKRA (SC),92,Aditya Kumar,JD(U),98723
Bihar,SAKRA (SC),92,Umesh Kumar Ram,INC,83673
Bihar,SAKRA (SC),92,Renu Paswan,JNSRJP,6414
Bihar,SAKRA (SC),92,Sateesh Kumar,IND,3594
Bihar,SAKRA (SC),92,Nota,NOTA,3535
Bihar,SAKRA (SC),92,Sachindra Kumar,IND,3441
Bihar,SAKRA (SC),92,Ram Sewak Paswan,SUCI,3059
Bihar,SAKRA (SC),92,Ashok Kumar,BSP,2564
Bihar,SAKRA (SC),92,Shiv Narayan,SAP,1105
Bihar,KURHANI,93,Kedar Pd Gupta,BJP,107811
Bihar,KURHANI,93,Sunil Kumar Suman,RJD,98093
Bihar,KURHANI,93,Dharmendra Kumar,IND,6733
Bihar,KURHANI,93,Mohammad Ali Irfan,JNSRJP,4075
Bihar,KURHANI,93,Manish Kumar,IND,3368
Bihar,KURHANI,93,Vijayesh Kumar,BSP,2117
Bihar,KURHANI,93,Sanjeet Kumar Jha,IND,1845
Bihar,KURHANI,93,Sumit Kumar Jha,IND,1209
Bihar,KURHANI,93,Pramod Kumar Sharma,IND,839
Bihar,KURHANI,93,Ajay Kumar Sahani,SP(I),794
Bihar,KURHANI,93,Dinesh Kumar Ray,IND,771
Bihar,KURHANI,93,Nota,NOTA,729
Bihar,KURHANI,93,Alok Kumar Singh,RJBP,555
Bihar,KURHANI,93,Md Gulam Masoom,JNSKJNDL,524
Bihar,KURHANI,93,Gulab Kumar Rajak,IND,494
Bihar,KURHANI,93,Sanjeet Manjhi,SUCI,436
Bihar,KURHANI,93,Dr. Santosh Kumar,IND,402
Bihar,KURHANI,93,Baiju Kumar Ray,SAP,307
Bihar,KURHANI,93,Arvind Kumar,IND,278
Bihar,KURHANI,93,Suresh Kumar Gupta,IND,264
Bihar,KURHANI,93,Rohit Kumar,RTORP,240
Bihar,MUZAFFARPUR,94,Ranjan Kumar,BJP,100477
Bihar,MUZAFFARPUR,94,Bijendra Chaudhary,INC,67820
Bihar,MUZAFFARPUR,94,Dr. A.k. Das,JNSRJP,10173
Bihar,MUZAFFARPUR,94,Sanjay Kumar Kejriwal,IND,1651
Bihar,MUZAFFARPUR,94,Chandra Bhushan Prasad,IND,957
Bihar,MUZAFFARPUR,94,Kanhaiya Kumar,IND,805
Bihar,MUZAFFARPUR,94,Sanjay Kumar S/o Jatan Rajak,IND,753
Bihar,MUZAFFARPUR,94,Shanu Kumar,ASPKR,663
Bihar,MUZAFFARPUR,94,Nota,NOTA,606
Bihar,MUZAFFARPUR,94,Baskit Kumar Sharma,IND,604
Bihar,MUZAFFARPUR,94,Balak Nath Sahani,BSP,594
Bihar,MUZAFFARPUR,94,Sanjay Kumar S/o Nand Kishor Prasad,IND,460
Bihar,MUZAFFARPUR,94,Md Hasan,AAAP,434
Bihar,MUZAFFARPUR,94,Anand Patel,IND,388
Bihar,MUZAFFARPUR,94,Ashok Kumar Jha,GJNP,301
Bihar,MUZAFFARPUR,94,Dhanwanti Devi,LCD,275
Bihar,MUZAFFARPUR,94,Awadhesh Prasad Singh,IND,273
Bihar,MUZAFFARPUR,94,Manoj Kumar,RJBP,223
Bihar,MUZAFFARPUR,94,Md. Shabbir Ansari,IND,222
Bihar,MUZAFFARPUR,94,Ajay Kumar,BJKVP,221
Bihar,MUZAFFARPUR,94,Aman Kumar Jha,SUCI,171
Bihar,KANTI,95,Ajit Kumar,JD(U),117299
Bihar,KANTI,95,Mohammad Israil Mansuri,RJD,91504
Bihar,KANTI,95,Nota,NOTA,7823
Bihar,KANTI,95,Sudarshan Mishra,JNSRJP,4251
Bihar,KANTI,95,Suresh Kumar Gupta,IND,2889
Bihar,KANTI,95,Kumari Sheetal,ASPKR,2594
Bihar,KANTI,95,Ranjit Kumar Jha Alias Pinaki Jha,IND,1237
Bihar,KANTI,95,Vivek Kumar,BSP,1200
Bihar,KANTI,95,Lal Babu Roy,SUCI,1197
Bihar,KANTI,95,Ajit Kumar,IND,751
Bihar,KANTI,95,Birendra Kumar,RJBP,589
Bihar,KANTI,95,Md Jafrudin,IND,532
Bihar,KANTI,95,Anand Kumar Jha,LCD,387
Bihar,KANTI,95,Pranjal Prakalp,KSNSD,347
Bihar,BARURAJ,96,Arun Kumar Singh,BJP,96879
Bihar,BARURAJ,96,Rakesh Kumar,VSIP,67827
Bihar,BARURAJ,96,Hiralal Khariya,JNSRJP,19935
Bihar,BARURAJ,96,Nota,NOTA,4926
Bihar,BARURAJ,96,Awadhesh Kumar Gupta,IND,4857
Bihar,BARURAJ,96,Nasima Khatoon,BSP,2944
Bihar,BARURAJ,96,Vidhalal Sahni,LCD,2035
Bihar,BARURAJ,96,Santosh Kumar,IND,1682
Bihar,BARURAJ,96,Sanjay Kumar Paswan,RASLJP,1578
Bihar,BARURAJ,96,Rajesh Kumar Sah,IND,997
