ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY,VOTES
S05,Goa,1,Mandrem,JIT VINAYAK AROLKAR,MALE,40.0,GENERAL,MAG,10387
S05,Goa,1,Mandrem,DAYANAND RAGHUNATH SOPTE,MALE,57.0,GENERAL,BJP,9672
S05,Goa,1,Mandrem,LAXMIKANT PARSEKAR,MALE,65.0,GENERAL,IND,5811
S05,Goa,1,Mandrem,DEEPAK BHALCHANDRA KALANGUTKAR,MALE,49.0,GENERAL,GFP,1676
S05,Goa,1,Mandrem,SUNAYANA RAJANIKANT GAWDE,FEMALE,32.0,GENERAL,RVLTGONP,1219
S05,Goa,1,Mandrem,PRASAD K. SHAHAPURKAR,MALE,45.0,GENERAL,AAAP,268
S05,Goa,1,Mandrem,NOTA,NOTA,NOTA,NOTA,NOTA,261
S05,Goa,1,Mandrem,Satish Sitaram Shetgaonkar,MALE,53.0,GENERAL,IND,184
S05,Goa,1,Mandrem,BABLI BHASKAR NAIK,MALE,31.0,GENERAL,SHS,119
S05,Goa,1,Mandrem,D'COSTA MARIA,FEMALE,45.0,GENERAL,SBBGP,46
S05,Goa,2,Pernem,PRAVIN PRABHAKAR ARLEKAR,MALE,47.0,SC,BJP,13063
S05,Goa,2,Pernem,RAJAN BABUSO KORGAONKAR,MALE,57.0,SC,MAG,9645
S05,Goa,2,Pernem,SUJAY D. MHAPSEKAR,MALE,28.0,SC,RVLTGONP,2755
S05,Goa,2,Pernem,JITENDRA YESHWANT GAONKAR,MALE,36.0,SC,INC,1827
S05,Goa,2,Pernem,VISHNUDAS KORGAONKAR,MALE,46.0,SC,IND,862
S05,Goa,2,Pernem,NOTA,NOTA,NOTA,NOTA,NOTA,363
S05,Goa,2,Pernem,PUNDALIK DHARGALKAR,MALE,51.0,SC,AAAP,273
S05,Goa,2,Pernem,SUBHASH BARKELO KERKAR,MALE,52.0,SC,SHS,223
S05,Goa,2,Pernem,KAMLAKAR SHANKAR GADKAR,MALE,60.0,SC,IND,129
S05,Goa,2,Pernem,GURUDAS VIRNODKAR,MALE,47.0,SC,IND,63
