ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY,VOTES
S03,Assam,1,RATABARI,BIJOY MALAKAR,MALE,41.0,SC,BJP,84711
S03,Assam,1,RATABARI,SAMBHU SING MALLAH,MALE,55.0,SC,INC,48490
S03,Assam,1,RATABARI,NOTA,NOTA,NOTA,NOTA,NOTA,1200
S03,Assam,1,RATABARI,SANCHITA SUKLA,FEMALE,37.0,SC,SUCI,708
S03,Assam,1,RATABARI,SUJIT ROY,MALE,37.0,SC,IND,628
S03,Assam,1,RATABARI,BEBUL DAS,MALE,40.0,SC,IND,348
S03,Assam,1,RATABARI,BIKASH LAL DHUBI,MALE,49.0,SC,IND,298
S03,Assam,1,RATABARI,BISHNU DHARI MALAH,MALE,49.0,SC,IND,232
S03,Assam,1,RATABARI,DIPENDRA DAS,MALE,52.0,SC,IND,196
S03,Assam,2,PATHARKANDI,KRISHNENDU PAUL,MALE,47.0,GENERAL,BJP,74846
S03,Assam,2,PATHARKANDI,SACHIN SAHOO,MALE,32.0,GENERAL,INC,70379
S03,Assam,2,PATHARKANDI,NOTA,NOTA,NOTA,NOTA,NOTA,1288
S03,Assam,2,PATHARKANDI,SHIHAB UDDIN AHMED,MALE,51.0,GENERAL,IND,1020
S03,Assam,2,PATHARKANDI,SAHIN UZ JAMAN,MALE,33.0,GENERAL,IND,835
S03,Assam,2,PATHARKANDI,SABBIR AHMED,MALE,45.0,GENERAL,AGP,543
S03,Assam,2,PATHARKANDI,IBRAHIM ALI,MALE,42.0,GENERAL,IND,287
S03,Assam,2,PATHARKANDI,HUMAYUN KABIR,MALE,41.0,GENERAL,ASMJTYP,263
S03,Assam,2,PATHARKANDI,SANJOY KUMAR MALAKAR,MALE,48.0,GENERAL,IND,216
S03,Assam,2,PATHARKANDI,JAYANTA SINHA,MALE,60.0,GENERAL,RPI,188
S03,Assam,2,PATHARKANDI,MD. BAHAR UDDIN,MALE,44.0,GENERAL,RUC,174
S03,Assam,2,PATHARKANDI,CHANDAN DAS,MALE,40.0,GENERAL,IND,174
S03,Assam,2,PATHARKANDI,YASHOBANTA KUAMR DAS,MALE,48.0,GENERAL,IND,171
S03,Assam,2,PATHARKANDI,YEAFUS ALI,MALE,35.0,GENERAL,IND,138
S03,Assam,2,PATHARKANDI,BULU CHANDA,MALE,45.0,GENERAL,SUCI,101
S03,Assam,2,PATHARKANDI,NURUL ISLAM,MALE,36.0,GENERAL,AIFB,84
S03,Assam,3,KARIMGANJ NORTH,KAMALAKHYA DEY PURKAYASTHA,MALE,43.0,GENERAL,INC,60998
S03,Assam,3,KARIMGANJ NORTH,DR MANASH DAS,MALE,52.0,GENERAL,BJP,52674
S03,Assam,3,KARIMGANJ NORTH,SAHABUL ISLAM CHOUDHURY,MALE,52.0,GENERAL,IND,28044
S03,Assam,3,KARIMGANJ NORTH,NOTA,NOTA,NOTA,NOTA,NOTA,1180
S03,Assam,3,KARIMGANJ NORTH,NAZRUL ISLAM CHOUDHURY,MALE,60.0,GENERAL,AIFB,858
S03,Assam,3,KARIMGANJ NORTH,DEBAJYOTI DEB ROY (SUJAN),MALE,34.0,GENERAL,IND,578
S03,Assam,3,KARIMGANJ NORTH,JAKIR HUSSAIN,MALE,35.0,GENERAL,IND,475
S03,Assam,3,KARIMGANJ NORTH,LUTFUR RAHMAN,MALE,44.0,GENERAL,IND,467
S03,Assam,3,KARIMGANJ NORTH,NAZIM UDDIN KHAN,MALE,48.0,GENERAL,IND,434
S03,Assam,3,KARIMGANJ NORTH,AHAD UDDIN,MALE,36.0,GENERAL,RUC,314
S03,Assam,3,KARIMGANJ NORTH,SUJIT KUMAR PAUL,MALE,44.0,GENERAL,SUCI,165
S03,Assam,3,KARIMGANJ NORTH,RUHUL QUDDUS,MALE,46.0,GENERAL,IND,128
S03,Assam,3,KARIMGANJ NORTH,MD JUBAIR AHMED CHOUDHURY,MALE,33.0,GENERAL,IND,121
S03,Assam,3,KARIMGANJ NORTH,ABDUL JABBAR CHOUDHURY,MALE,52.0,GENERAL,IND,115
S03,Assam,3,KARIMGANJ NORTH,MOHAMMAD ABDUL BATIN,MALE,50.0,GENERAL,IND,102
S03,Assam,3,KARIMGANJ NORTH,GOPAL CHANDRA PAUL,MALE,61.0,GENERAL,SP,92
S03,Assam,4,KARIMGANJ SOUTH,SIDDEQUE AHMED,MALE,59.0,GENERAL,INC,88909
S03,Assam,4,KARIMGANJ SOUTH,AZIZ AHMED KHAN,MALE,42.0,GENERAL,AGP,56422
S03,Assam,4,KARIMGANJ SOUTH,HUSSAIN AHMED,MALE,34.0,GENERAL,IND,1167
S03,Assam,4,KARIMGANJ SOUTH,NOTA,NOTA,NOTA,NOTA,NOTA,985
S03,Assam,4,KARIMGANJ SOUTH,PRONAB KUMAR ROY,MALE,40.0,GENERAL,BLSP,704
S03,Assam,4,KARIMGANJ SOUTH,SUFIAN AHMED,MALE,60.0,GENERAL,IND,516
S03,Assam,4,KARIMGANJ SOUTH,SAYED ALI AHMED,MALE,46.0,GENERAL,IND,297
S03,Assam,4,KARIMGANJ SOUTH,BIMAL KRISHNA DAS,MALE,44.0,SC,IND,241
S03,Assam,4,KARIMGANJ SOUTH,SHAMIM AHMED CHOUDHURY,MALE,28.0,GENERAL,IND,166
S03,Assam,4,KARIMGANJ SOUTH,RAJESH DEY PURKAYASTHA,MALE,40.0,GENERAL,IND,148
S03,Assam,4,KARIMGANJ SOUTH,BILAL AHMED,MALE,37.0,GENERAL,IND,141
S03,Assam,4,KARIMGANJ SOUTH,ABU SUFIAN,MALE,41.0,GENERAL,IND,131
S03,Assam,4,KARIMGANJ SOUTH,FAIZ AHMED,MALE,31.0,GENERAL,IND,123
S03,Assam,4,KARIMGANJ SOUTH,JAHARUL HAQUE,MALE,34.0,GENERAL,IND,122
S03,Assam,4,KARIMGANJ SOUTH,FORZAN KHAN,MALE,62.0,GENERAL,IND,106
S03,Assam,4,KARIMGANJ SOUTH,ABDUL BASIT,MALE,29.0,GENERAL,IND,102
S03,Assam,5,BADARPUR,ABDUL AZIZ,MALE,52.0,GENERAL,AIUDF,74452
S03,Assam,5,BADARPUR,BISWARUP BHATTACHARJEE,MALE,68.0,GENERAL,BJP,50504
S03,Assam,5,BADARPUR,SAHAB UDDIN,MALE,50.0,GENERAL,ASMJTYP,2123
S03,Assam,5,BADARPUR,NOTA,NOTA,NOTA,NOTA,NOTA,1706
S03,Assam,5,BADARPUR,RIYAJ UDDIN,MALE,34.0,GENERAL,IND,566
S03,Assam,5,BADARPUR,ABDUL MALIK,MALE,34.0,GENERAL,IND,456
S03,Assam,5,BADARPUR,NIZAM UDDIN,MALE,40.0,GENERAL,RUC,359
S03,Assam,5,BADARPUR,KABIL MIYA,MALE,58.0,GENERAL,IND,292
S03,Assam,5,BADARPUR,RASID AHMED,MALE,30.0,GENERAL,IND,229
S03,Assam,5,BADARPUR,NAJIM UDDIN,MALE,29.0,GENERAL,IND,218
S03,Assam,5,BADARPUR,BAHAR ASHIK,MALE,39.0,GENERAL,IND,175
S03,Assam,5,BADARPUR,ABDUL HASIB,MALE,32.0,GENERAL,IND,159
S03,Assam,5,BADARPUR,ENAM UDDIN,MALE,39.0,GENERAL,IND,103
S03,Assam,5,BADARPUR,ABDUS SUKKUR BEIG,MALE,44.0,GENERAL,IND,78
S03,Assam,5,BADARPUR,OLIOUR RAHAMAN TAPADAR,MALE,48.0,GENERAL,IND,72
S03,Assam,6,HAILAKANDI,ZAKIR HUSSAIN LASKAR,MALE,50.0,GENERAL,AIUDF,71057
S03,Assam,6,HAILAKANDI,MILON DAS,MALE,30.0,GENERAL,BJP,47303
S03,Assam,6,HAILAKANDI,HILAL UDDIN LASKAR,MALE,54.0,GENERAL,IND,6583
S03,Assam,6,HAILAKANDI,NOTA,NOTA,NOTA,NOTA,NOTA,1063
S03,Assam,6,HAILAKANDI,MUJIB AHMED CHOUDHURY,MALE,39.0,GENERAL,IND,620
S03,Assam,6,HAILAKANDI,SAIDUR RAHMAN BARBHUIYA,MALE,34.0,GENERAL,IND,543
S03,Assam,6,HAILAKANDI,KSHITISH RANJAN PAUL,MALE,71.0,GENERAL,IND,489
S03,Assam,6,HAILAKANDI,SAFIQUE KAMAL BARLASKAR,MALE,39.0,GENERAL,AITC,389
S03,Assam,6,HAILAKANDI,MONUJ MOHAN DEB,MALE,43.0,GENERAL,BGanP,226
S03,Assam,6,HAILAKANDI,GULA AHMED MAZUMDER,MALE,37.0,GENERAL,IND,138
S03,Assam,6,HAILAKANDI,SUSHIL PAUL,MALE,59.0,GENERAL,SUCI,131
S03,Assam,6,HAILAKANDI,BINOY KUMAR ROY,MALE,39.0,GENERAL,IND,126
S03,Assam,6,HAILAKANDI,ABUL HUSSAIN BARBHUIYA,MALE,33.0,GENERAL,IND,84
S03,Assam,6,HAILAKANDI,WAHIDUL ISLAM CHOUDHURY,MALE,36.0,GENERAL,IND,84
S03,Assam,7,KATLICHERRA,SUZAM UDDIN LASKAR,MALE,53.0,GENERAL,AIUDF,79769
S03,Assam,7,KATLICHERRA,SUBRATA KUMAR NATH,MALE,51.0,GENERAL,BJP,66798
S03,Assam,7,KATLICHERRA,SANJEEV ROY,MALE,47.0,GENERAL,INC,2931
S03,Assam,7,KATLICHERRA,LUTHFUR RAHMAN LASKAR,MALE,27.0,GENERAL,IND,906
S03,Assam,7,KATLICHERRA,NOTA,NOTA,NOTA,NOTA,NOTA,745
S03,Assam,7,KATLICHERRA,RAM KUMAR NUNIA,MALE,46.0,GENERAL,JD(U),672
S03,Assam,7,KATLICHERRA,SAHAB UDDIN LASKAR,MALE,29.0,GENERAL,IND,666
S03,Assam,7,KATLICHERRA,RAJESH PAUL,MALE,46.0,GENERAL,IND,269
S03,Assam,7,KATLICHERRA,MOJMUL ISLAM LASKAR,MALE,25.0,GENERAL,IND,207
S03,Assam,7,KATLICHERRA,AFTAB UDDIN BARBHUIYA,MALE,48.0,GENERAL,IND,194
S03,Assam,7,KATLICHERRA,ACHAB UDDIN BARBHUIYA,MALE,51.0,GENERAL,IND,190
S03,Assam,7,KATLICHERRA,AHMED HUSSAIN BARBHUIYA,MALE,37.0,GENERAL,IND,182
S03,Assam,7,KATLICHERRA,JOHUR UDDIN TALUKDAR,MALE,45.0,GENERAL,IND,155
S03,Assam,7,KATLICHERRA,ABDUL BASIT LASKAR,MALE,33.0,GENERAL,IND,111
S03,Assam,7,KATLICHERRA,BADAR UDDIN LASKAR,MALE,33.0,GENERAL,IND,96
S03,Assam,8,ALGAPUR,Nijam Uddin Choudhury,MALE,47.0,GENERAL,AIUDF,66785
S03,Assam,8,ALGAPUR,Moon Swarnakar,FEMALE,45.0,GENERAL,BJP,49181
S03,Assam,8,ALGAPUR,Aftab Uddin Laskar,MALE,51.0,GENERAL,AGP,7549
S03,Assam,8,ALGAPUR,Babul Kumar,MALE,47.0,GENERAL,IND,2343
S03,Assam,8,ALGAPUR,Daisy Roy,FEMALE,46.0,GENERAL,IND,1601
S03,Assam,8,ALGAPUR,Badrul Islam Barbhuiya,MALE,43.0,GENERAL,IND,1403
S03,Assam,8,ALGAPUR,Manoj Kumar Malakar,MALE,34.0,SC,IND,794
S03,Assam,8,ALGAPUR,Raju Das,MALE,45.0,SC,IND,760
S03,Assam,8,ALGAPUR,Samin Ahmed Choudhury,MALE,38.0,GENERAL,IND,634
S03,Assam,8,ALGAPUR,Saleh Ahmed Mazumder,MALE,35.0,GENERAL,IND,594
S03,Assam,8,ALGAPUR,Simu Das,MALE,42.0,GENERAL,AIFB,552
S03,Assam,8,ALGAPUR,Bulbul Alam Choudhury,MALE,32.0,GENERAL,IND,534
S03,Assam,8,ALGAPUR,Brojendra Chandra Das,MALE,48.0,SC,IND,466
S03,Assam,8,ALGAPUR,NOTA,NOTA,NOTA,NOTA,NOTA,442
S03,Assam,8,ALGAPUR,Gulzar Ahmed Barbhuiya,MALE,41.0,GENERAL,IND,339
S03,Assam,8,ALGAPUR,Jahanara Begum Mazumder,FEMALE,34.0,GENERAL,IND,314
S03,Assam,8,ALGAPUR,Kaji Abdul Hakim,MALE,62.0,GENERAL,IND,280
S03,Assam,8,ALGAPUR,Raju Deb,MALE,43.0,GENERAL,IND,224
S03,Assam,8,ALGAPUR,Alim Uddin Laskar,MALE,39.0,GENERAL,IND,136
S03,Assam,8,ALGAPUR,Imadul Islam Laskar,MALE,47.0,GENERAL,IND,95
S03,Assam,9,SILCHAR,DIPAYAN CHAKRABORTY,MALE,51.0,GENERAL,BJP,98558
S03,Assam,9,SILCHAR,TAMAL KANTI BANIK,MALE,48.0,GENERAL,INC,60980
S03,Assam,9,SILCHAR,DILIP KUMAR PAUL,MALE,64.0,GENERAL,IND,11254
S03,Assam,9,SILCHAR,NOTA,NOTA,NOTA,NOTA,NOTA,1398
S03,Assam,9,SILCHAR,DULALI CHAKRABORTY,FEMALE,59.0,GENERAL,SUCI,755
S03,Assam,9,SILCHAR,SHUVADIP DATTA,MALE,54.0,GENERAL,IND,523
S03,Assam,9,SILCHAR,RAJU SINHA,MALE,46.0,GENERAL,HND,492
S03,Assam,9,SILCHAR,SHANKAR CHAKRABORTY,MALE,34.0,GENERAL,IND,254
S03,Assam,9,SILCHAR,BAKTAR UDDIN MAZUMDER,MALE,56.0,GENERAL,IND,222
S03,Assam,9,SILCHAR,ANUP DUTTA,MALE,42.0,GENERAL,IND,197
S03,Assam,9,SILCHAR,PRASANTA LASKAR,MALE,53.0,GENERAL,RPI(A),181
S03,Assam,9,SILCHAR,ANUPAM DEV,MALE,33.0,GENERAL,IND,156
S03,Assam,9,SILCHAR,BISHWAY CHAMAK GOSWAMI,MALE,47.0,GENERAL,BGanP,155
S03,Assam,9,SILCHAR,RUSNA BEGUM LASKAR,FEMALE,34.0,GENERAL,IND,149
S03,Assam,9,SILCHAR,BIJU CHANDA,MALE,40.0,GENERAL,IND,98
S03,Assam,9,SILCHAR,BAPPI PAUL,MALE,32.0,GENERAL,IND,93
S03,Assam,10,SONAI,KARIM UDDIN BARBHUIYA,MALE,51.0,GENERAL,AIUDF,71937
S03,Assam,10,SONAI,AMINUL HAQUE LASKAR,MALE,55.0,GENERAL,BJP,52283
S03,Assam,10,SONAI,ASHISH HALDAR,MALE,43.0,GENERAL,IND,14500
S03,Assam,10,SONAI,M. SANTI KUMAR SINGHA,MALE,51.0,GENERAL,AITC,2796
S03,Assam,10,SONAI,NOTA,NOTA,NOTA,NOTA,NOTA,1231
S03,Assam,10,SONAI,SAYAL AHMED BARBHUIYA,MALE,41.0,GENERAL,IND,1061
S03,Assam,10,SONAI,ANAMUL HAQUE,MALE,71.0,GENERAL,IND,735
S03,Assam,10,SONAI,BIJAN PAUL,MALE,41.0,GENERAL,IND,679
S03,Assam,10,SONAI,SHUKUMAR SONAR,MALE,34.0,GENERAL,IND,482
S03,Assam,10,SONAI,ANWAR HUSSAIN LASKAR,MALE,59.0,GENERAL,SP,469
S03,Assam,10,SONAI,DILIP KUMAR DAS,MALE,52.0,SC,IND,299
S03,Assam,10,SONAI,ANJAN KUMAR CHANDA,MALE,61.0,GENERAL,SUCI,244
S03,Assam,10,SONAI,MD NAZRUL ISLAM LASKAR,MALE,63.0,GENERAL,IND,241
S03,Assam,10,SONAI,KARIM UDDIN BARBHUIYA,MALE,51.0,GENERAL,IND,236
S03,Assam,10,SONAI,ABDUL MATLIB LASKAR,MALE,39.0,GENERAL,IND,141
S03,Assam,11,DHOLAI,PARIMAL SUKLA BAIDYA,MALE,63.0,SC,BJP,82568
S03,Assam,11,DHOLAI,KAMAKHYA PRASAD MALA,MALE,66.0,SC,INC,62176
S03,Assam,11,DHOLAI,GOUR CHANDRA DAS,MALE,36.0,SC,SUCI,1834
S03,Assam,11,DHOLAI,NOTA,NOTA,NOTA,NOTA,NOTA,1561
S03,Assam,11,DHOLAI,PARIMAL DAS,MALE,54.0,SC,IND,750
S03,Assam,11,DHOLAI,DIPAK RANJAN ROY,MALE,50.0,SC,IND,425
S03,Assam,11,DHOLAI,RAM RATAN DUSAD,MALE,59.0,SC,ASMJTYP,381
S03,Assam,11,DHOLAI,ANANTA MOHAN ROY,MALE,66.0,SC,IND,356
S03,Assam,12,UDHARBOND,MIHIR KANTI SHOME,MALE,55.0,GENERAL,BJP,61745
S03,Assam,12,UDHARBOND,AJIT SINGH,MALE,60.0,GENERAL,INC,59060
S03,Assam,12,UDHARBOND,Rahul Roy,MALE,46.0,GENERAL,IND,5796
S03,Assam,12,UDHARBOND,NOTA,NOTA,NOTA,NOTA,NOTA,1494
S03,Assam,12,UDHARBOND,Aynul Hoque Laskar,MALE,63.0,GENERAL,ASMJTYP,811
S03,Assam,12,UDHARBOND,Suman Das,MALE,26.0,GENERAL,IND,710
S03,Assam,12,UDHARBOND,Subrata Mazumder,MALE,51.0,GENERAL,IND,544
S03,Assam,12,UDHARBOND,Debojyoti Bhattacharjee,MALE,42.0,GENERAL,IND,281
S03,Assam,13,LAKHIPUR,Kaushik Rai,MALE,44.0,GENERAL,BJP,55341
S03,Assam,13,LAKHIPUR,Mukesh Pandey,MALE,43.0,GENERAL,INC,42641
S03,Assam,13,LAKHIPUR,Thoiba Singha,MALE,45.0,GENERAL,IND,20503
S03,Assam,13,LAKHIPUR,Alim Uddin Mazumder,MALE,62.0,GENERAL,ASMJTYP,2991
S03,Assam,13,LAKHIPUR,NOTA,NOTA,NOTA,NOTA,NOTA,1536
S03,Assam,13,LAKHIPUR,Chiranjit Acharjee,MALE,31.0,GENERAL,IND,646
S03,Assam,13,LAKHIPUR,Kshirode Karmakar,MALE,56.0,GENERAL,IND,388
S03,Assam,14,BARKHOLA,MISBAHUL ISLAM LASKAR,MALE,66.0,GENERAL,INC,64433
S03,Assam,14,BARKHOLA,AMALENDU DAS,MALE,48.0,SC,BJP,57402
S03,Assam,14,BARKHOLA,NOTA,NOTA,NOTA,NOTA,NOTA,1105
S03,Assam,14,BARKHOLA,MEHBUB RAHMAN BARBHUIYA,MALE,36.0,GENERAL,ASMJTYP,776
S03,Assam,14,BARKHOLA,HIFZUR RAHMAN LASKAR,MALE,36.0,GENERAL,IND,475
S03,Assam,14,BARKHOLA,NAZMUL HOQUE LASKAR,MALE,50.0,GENERAL,IND,263
S03,Assam,15,KATIGORA,Khalil Uddin Mazumder,MALE,44.0,GENERAL,INC,83268
S03,Assam,15,KATIGORA,Gautam Roy,MALE,72.0,GENERAL,BJP,76329
S03,Assam,15,KATIGORA,NOTA,NOTA,NOTA,NOTA,NOTA,1112
S03,Assam,15,KATIGORA,Hilal Ahmed Talukder,MALE,41.0,GENERAL,IND,563
S03,Assam,15,KATIGORA,Abdul Odud Choudhury,MALE,37.0,GENERAL,IND,476
S03,Assam,15,KATIGORA,GMC SAHAB UDDIN AHMED,MALE,46.0,GENERAL,IND,297
S03,Assam,15,KATIGORA,Monsur Hassan Choudhury,MALE,31.0,GENERAL,IND,197
S03,Assam,15,KATIGORA,Junaid Ahmed Barbhuiya,MALE,25.0,GENERAL,IND,195
S03,Assam,15,KATIGORA,Nasir Uddin Barbhuiya,MALE,35.0,GENERAL,IND,140
S03,Assam,16,HAFLONG,NANDITA GORLOSA,FEMALE,43.0,ST,BJP,67797
S03,Assam,16,HAFLONG,NIRMAL LANGTHASA,MALE,47.0,ST,INC,49199
S03,Assam,16,HAFLONG,NOTA,NOTA,NOTA,NOTA,NOTA,973
S03,Assam,16,HAFLONG,KHANDAN DAULAGUPU,MALE,37.0,ST,BTP,826
S03,Assam,16,HAFLONG,LONGKI ENGHI,MALE,35.0,ST,JD(U),723
S03,Assam,17,BOKAJAN,NUMAL MOMIN,MALE,47.0,ST,BJP,60726
S03,Assam,17,BOKAJAN,RATON ENGTI,MALE,50.0,ST,INC,42841
S03,Assam,17,BOKAJAN,SEMSON TERON,MALE,33.0,ST,IND,6630
S03,Assam,17,BOKAJAN,RAJENDRA RONGPI,MALE,65.0,ST,ASDC,3410
S03,Assam,17,BOKAJAN,NOTA,NOTA,NOTA,NOTA,NOTA,1584
S03,Assam,17,BOKAJAN,AMLONG INGTI,MALE,46.0,ST,CPI(ML)(L),1572
S03,Assam,17,BOKAJAN,DAVID RENGMA,MALE,50.0,ST,NPEP,1472
S03,Assam,17,BOKAJAN,SANJAY KEMPRAI,MALE,40.0,ST,BTP,710
S03,Assam,18,HOWRAGHAT,Darsing Ronghang,MALE,54.0,ST,BJP,57927
S03,Assam,18,HOWRAGHAT,Sanjeeb Teron,MALE,35.0,ST,INC,26244
S03,Assam,18,HOWRAGHAT,Suren Kramsa,MALE,62.0,ST,IND,8990
S03,Assam,18,HOWRAGHAT,Chandra Kanta Terang,MALE,63.0,ST,ASDC,5098
S03,Assam,18,HOWRAGHAT,Rabi Kumar Phangcho,MALE,55.0,ST,CPI(ML)(L),1833
S03,Assam,18,HOWRAGHAT,NOTA,NOTA,NOTA,NOTA,NOTA,1355
S03,Assam,18,HOWRAGHAT,Chomang Teron,MALE,52.0,ST,NPEP,1118
S03,Assam,18,HOWRAGHAT,Rakesh Ronghang,MALE,31.0,ST,IND,718
S03,Assam,18,HOWRAGHAT,Pradip Tokbi,MALE,31.0,ST,JD(U),639
S03,Assam,19,DIPHU,Bidya Sing Engleng,MALE,66.0,ST,BJP,77032
S03,Assam,19,DIPHU,Sum Ronghang,MALE,58.0,ST,INC,36504
S03,Assam,19,DIPHU,Jones Ingti Kathar,MALE,69.0,ST,IND,23356
S03,Assam,19,DIPHU,Hemsing Tisso,MALE,55.0,ST,ASDC,7379
S03,Assam,19,DIPHU,NOTA,NOTA,NOTA,NOTA,NOTA,2320
S03,Assam,19,DIPHU,Ranjit Kramsa,MALE,34.0,ST,CPI(ML)(L),1467
S03,Assam,19,DIPHU,Rajen Timung,MALE,41.0,ST,NPEP,1372
S03,Assam,19,DIPHU,Rohili Tokbipi,FEMALE,41.0,ST,IND,1091
S03,Assam,19,DIPHU,Dilip Sing Bey,MALE,40.0,ST,IND,927
S03,Assam,19,DIPHU,Bhogeswar Shyam,MALE,63.0,ST,IND,846
S03,Assam,20,BAITHALANGSO,Rupsing Teron,MALE,53.0,ST,BJP,89715
S03,Assam,20,BAITHALANGSO,Augustine Enghee,MALE,31.0,ST,INC,36278
S03,Assam,20,BAITHALANGSO,Bikram Hanse,MALE,33.0,ST,IND,17965
S03,Assam,20,BAITHALANGSO,Sarsing Engleng,MALE,46.0,ST,IND,11547
S03,Assam,20,BAITHALANGSO,NOTA,NOTA,NOTA,NOTA,NOTA,2082
S03,Assam,20,BAITHALANGSO,Welcome Teron,MALE,63.0,ST,NPEP,1881
S03,Assam,20,BAITHALANGSO,Pratima Engheepi,FEMALE,47.0,ST,IND,1479
S03,Assam,20,BAITHALANGSO,Rina Beypi,FEMALE,34.0,ST,IND,1223
S03,Assam,20,BAITHALANGSO,Sima Engtipi,FEMALE,40.0,ST,JD(U),942
S03,Assam,21,MANKACHAR,MD. AMINUL ISLAM,MALE,45.0,GENERAL,AIUDF,125873
S03,Assam,21,MANKACHAR,ZABED ISLAM,MALE,53.0,GENERAL,AGP,69033
S03,Assam,21,MANKACHAR,ZAMER ALI,MALE,49.0,GENERAL,IND,4200
S03,Assam,21,MANKACHAR,MONOWAR HUSSAIN,MALE,46.0,GENERAL,IND,2637
S03,Assam,21,MANKACHAR,AMINUL ISLAM,MALE,73.0,GENERAL,NPEP,1967
S03,Assam,21,MANKACHAR,RUKUNUR ZAMAN,MALE,43.0,GENERAL,IND,1005
S03,Assam,21,MANKACHAR,NOTA,NOTA,NOTA,NOTA,NOTA,921
S03,Assam,21,MANKACHAR,SAYED HASSAN IMAN,MALE,36.0,GENERAL,JD(U),919
S03,Assam,21,MANKACHAR,SHAHIDUR ALAM,MALE,63.0,GENERAL,SUCI,739
S03,Assam,22,SALMARA SOUTH,WAZED ALI CHOUDHURY,MALE,58.0,GENERAL,INC,146248
S03,Assam,22,SALMARA SOUTH,NURUL ISLAM MOLLAH,MALE,47.0,GENERAL,IND,10674
S03,Assam,22,SALMARA SOUTH,ASADUL ISLAM,MALE,50.0,GENERAL,BJP,8919
