ST_CODE,ST_NAME,PC_NO,PC_NAME,AC_NO,AC_NAME,CANDIDATE,PARTY,VOTES
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,BANKA SAHADEV,IND,949
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,GODAM NAGESH,TRS,44815
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,MOSALI CHINNAIAH,IND,1036
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,NARESH,INC,29235
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,NETHAWATH RAMDAS,IND,5064
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,PAWAR KRISHNA,IND,803
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,RAMESH RATHOD,TDP,22329
S01,Andhra Pradesh,26,Adilabad,176,Sirpur,RATHOD SADASHIV,BSP,43553
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,BANKA SAHADEV,IND,972
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,GODAM NAGESH,TRS,66168
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,MOSALI CHINNAIAH,IND,2763
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,NARESH,INC,32792
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,NETHAWATH RAMDAS,IND,8629
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,PAWAR KRISHNA,IND,1191
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,RAMESH RATHOD,TDP,28002
S01,Andhra Pradesh,26,Adilabad,180,Asifabad,RATHOD SADASHIV,BSP,2555
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,BANKA SAHADEV,IND,671
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,GODAM NAGESH,TRS,69250
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,MOSALI CHINNAIAH,IND,1131
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,NARESH,INC,23592
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,NETHAWATH RAMDAS,IND,5894
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,PAWAR KRISHNA,IND,644
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,RAMESH RATHOD,TDP,30591
S01,Andhra Pradesh,26,Adilabad,181,Khanapur,RATHOD SADASHIV,BSP,1943
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,BANKA SAHADEV,IND,573
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,GODAM NAGESH,TRS,72673
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,MOSALI CHINNAIAH,IND,852
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,NARESH,INC,37488
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,NETHAWATH RAMDAS,IND,4388
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,PAWAR KRISHNA,IND,607
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,RAMESH RATHOD,TDP,21555
S01,Andhra Pradesh,26,Adilabad,182,Adilabad,RATHOD SADASHIV,BSP,2191
S01,Andhra Pradesh,26,Adilabad,183,Boath,BANKA SAHADEV,IND,533
S01,Andhra Pradesh,26,Adilabad,183,Boath,GODAM NAGESH,TRS,66928
S01,Andhra Pradesh,26,Adilabad,183,Boath,MOSALI CHINNAIAH,IND,1025
S01,Andhra Pradesh,26,Adilabad,183,Boath,NARESH,INC,32813
S01,Andhra Pradesh,26,Adilabad,183,Boath,NETHAWATH RAMDAS,IND,6683
S01,Andhra Pradesh,26,Adilabad,183,Boath,PAWAR KRISHNA,IND,663
S01,Andhra Pradesh,26,Adilabad,183,Boath,RAMESH RATHOD,TDP,25584
S01,Andhra Pradesh,26,Adilabad,183,Boath,RATHOD SADASHIV,BSP,1341
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,BANKA SAHADEV,IND,416
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,GODAM NAGESH,TRS,58562
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,MOSALI CHINNAIAH,IND,986
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,NARESH,INC,41518
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,NETHAWATH RAMDAS,IND,4141
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,PAWAR KRISHNA,IND,413
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,RAMESH RATHOD,TDP,12651
S01,Andhra Pradesh,26,Adilabad,184,Nirmal,RATHOD SADASHIV,BSP,40554
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,BANKA SAHADEV,IND,666
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,GODAM NAGESH,TRS,47366
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,MOSALI CHINNAIAH,IND,1049
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,NARESH,INC,60556
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,NETHAWATH RAMDAS,IND,6229
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,PAWAR KRISHNA,IND,730
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,RAMESH RATHOD,TDP,42167
S01,Andhra Pradesh,26,Adilabad,185,Mudhole,RATHOD SADASHIV,BSP,2226
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,BALKA SUMAN,TRS,66228
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,BOTHA VENKATA MALLAIAH,BCUF,344
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,BUPELLI NARAYANA,IND,1163
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,DR.JANAPATI SARAT BABU,TDP,4996
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,G. VIVEKANAND,INC,38969
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,GADDALA VINAY KUMAR,IND,583
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,GORRE RAMESH,IND,308
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,J.V. RAJU,NIP,364
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,JINNA RAMADEVI,IND,334
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,KALVALA SANJEEV,RPI,1145
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,KALVALA SHANKAR,PPOI,1292
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,KAMILLA JAYA RAO,IND,426
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,MOUTAM RAVINDER,IND,294
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,TAGARAM SHANKAR LAL,BSP,1145
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,THALLAPALLI SRINIVAS,IND,570
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,VELTHURU MALLAIAH,RP(K),6809
S01,Andhra Pradesh,27,Peddapalle,177,Chennur,VENKATA SWAMY INJAM,MaSP,983
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,BALKA SUMAN,TRS,67948
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,BOTHA VENKATA MALLAIAH,BCUF,285
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,BUPELLI NARAYANA,IND,1475
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,DR.JANAPATI SARAT BABU,TDP,8428
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,G. VIVEKANAND,INC,25172
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,GADDALA VINAY KUMAR,IND,662
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,GORRE RAMESH,IND,330
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,J.V. RAJU,NIP,600
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,JINNA RAMADEVI,IND,372
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,KALVALA SANJEEV,RPI,1110
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,KALVALA SHANKAR,PPOI,1202
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,KAMILLA JAYA RAO,IND,445
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,MOUTAM RAVINDER,IND,337
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,TAGARAM SHANKAR LAL,BSP,1447
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,THALLAPALLI SRINIVAS,IND,588
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,VELTHURU MALLAIAH,RP(K),6507
S01,Andhra Pradesh,27,Peddapalle,178,Bellampalli,VENKATA SWAMY INJAM,MaSP,407
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,BALKA SUMAN,TRS,94230
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,BOTHA VENKATA MALLAIAH,BCUF,282
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,BUPELLI NARAYANA,IND,796
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,DR.JANAPATI SARAT BABU,TDP,7109
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,G. VIVEKANAND,INC,36929
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,GADDALA VINAY KUMAR,IND,516
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,GORRE RAMESH,IND,208
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,J.V. RAJU,NIP,247
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,JINNA RAMADEVI,IND,239
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,KALVALA SANJEEV,RPI,1093
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,KALVALA SHANKAR,PPOI,1093
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,KAMILLA JAYA RAO,IND,414
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,MOUTAM RAVINDER,IND,360
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,TAGARAM SHANKAR LAL,BSP,1077
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,THALLAPALLI SRINIVAS,IND,427
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,VELTHURU MALLAIAH,RP(K),5753
S01,Andhra Pradesh,27,Peddapalle,175,Mancherial,VENKATA SWAMY INJAM,MaSP,461
S01,Andhra Pradesh,27,Peddapalle,197,Dharmapuri,BALKA SUMAN,TRS,73940
S01,Andhra Pradesh,27,Peddapalle,197,Dharmapuri,BOTHA VENKATA MALLAIAH,BCUF,431
S01,Andhra Pradesh,27,Peddapalle,197,Dharmapuri,BUPELLI NARAYANA,IND,1072
S01,Andhra Pradesh,27,Peddapalle,197,Dharmapuri,DR.JANAPATI SARAT BABU,TDP,5424
