ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY,VOTES
S03,Assam,1,Ratabari,KRIPANATH MALLAH,M,SC,40,BJP,53975
S03,Assam,1,Ratabari,AKHIL RANJAN TALUKDAR,M,SC,60,INC,29449
S03,Assam,1,Ratabari,RAJIB BISWAS,M,SC,37,AIUDF,23926
S03,Assam,1,Ratabari,SETUL CHANDRA NAMASUDRA,M,SC,66,IND,908
S03,Assam,1,Ratabari,NIRMAL MALLICK,M,SC,42,SP,542
S03,Assam,1,Ratabari,PRABIR BARDHAN,M,SC,36,IND,487
S03,Assam,1,Ratabari,SANJOY KUMAR MALLAH,M,SC,39,IND,419
S03,Assam,1,Ratabari,KALIPADA BISWAS,M,SC,40,IND,380
S03,Assam,1,Ratabari,MANILAL RABIDAS,M,SC,67,IND,370
S03,Assam,1,Ratabari,SATYENDRA NAMASUDRA,M,SC,40,SUCI,354
S03,Assam,1,Ratabari,NIRANJAN MALLAH,M,SC,58,IND,267
S03,Assam,1,Ratabari,RANJU ROY,M,SC,51,IND,247
S03,Assam,1,Ratabari,UMESH MALAH,M,SC,29,IND,204
S03,Assam,1,Ratabari,AMULYA NAMASUDRA,M,SC,56,IND,191
S03,Assam,2,Patharkandi,KRISHNENDU PAUL,M,GEN,42,BJP,46544
S03,Assam,2,Patharkandi,DEBENDRA KUMAR SINHA,M,GEN,62,AIUDF,37276
S03,Assam,2,Patharkandi,MONI LAL GOWALA,M,GEN,73,INC,32048
S03,Assam,2,Patharkandi,KRIPESH RANJAN DASGUPTA,M,GEN,65,CPM,1638
S03,Assam,2,Patharkandi,KABIR AHMED,M,GEN,34,IND,892
S03,Assam,2,Patharkandi,RAHIM UDDIN AHMED,M,GEN,46,IND,743
S03,Assam,2,Patharkandi,MISBAQUE UDDIN,M,GEN,42,SP,599
S03,Assam,2,Patharkandi,DEBANGSHU NATH,M,GEN,47,SUCI,509
S03,Assam,2,Patharkandi,ASAD UDDIN AHMED,M,GEN,34,IND,501
S03,Assam,2,Patharkandi,NITAI DEY,M,GEN,46,IND,495
S03,Assam,2,Patharkandi,NIHAR RANJAN DEB NATH,M,GEN,44,IND,419
S03,Assam,3,Karimganj North,KAMALAKHYA DEY PURKAYASTHA,M,GEN,38,INC,45289
S03,Assam,3,Karimganj North,MISSION RANJAN DAS,M,GEN,54,BJP,44821
S03,Assam,3,Karimganj North,SAHABUL ISLAM CHOUDHURY,M,GEN,47,AIUDF,34207
S03,Assam,3,Karimganj North,NAZRUL ISLAM CHOUDHURY,M,GEN,55,IND,1704
S03,Assam,3,Karimganj North,ABDUL AHAD CHOUDHURY,M,GEN,40,IND,1052
S03,Assam,3,Karimganj North,MOIN UDDIN,M,GEN,44,IND,708
S03,Assam,3,Karimganj North,ARUNANGSHU BHATTACHARJEE,M,GEN,57,SUCI,468
S03,Assam,3,Karimganj North,MUHAMMAD MUHSIN ALAM,M,GEN,29,IND,420
S03,Assam,3,Karimganj North,SIBIR AHMED,M,GEN,34,IND,265
S03,Assam,3,Karimganj North,BIKASH KANTI ROY,M,GEN,57,BGanP,253
S03,Assam,3,Karimganj North,DEEPAN NATH,M,GEN,35,IND,241
S03,Assam,3,Karimganj North,KAYSAR AHMED CHOUDHURY,M,GEN,35,IND,237
S03,Assam,3,Karimganj North,AMJAD HUSSAIN,M,GEN,47,IND,161
S03,Assam,3,Karimganj North,TAJ UDDIN CHOUDHURY,M,GEN,43,IND,144
S03,Assam,3,Karimganj North,ARUN KUMAR DAS,M,GEN,64,IND,137
S03,Assam,4,Karimganj South,AZIZ AHMED KHAN,M,GEN,38,AIUDF,58060
S03,Assam,4,Karimganj South,SIDDEQUE AHMED,M,GEN,53,INC,53644
