ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,YEAR,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,DIST_NAME,AC_TYPE,VOTES,,,,,,,,
S24,Uttar Pradesh,4,Saharanpur  ,NAUSHAD,2017,M,29,GEN,JANADIP,,,146,,,,,,,,
S24,Uttar Pradesh,5,Deoband,BRIJESH,2017,M,44,GEN,BJP,,,102244,,,,,,,,
S24,Uttar Pradesh,5,Deoband,MAJID ALI,2017,M,50,GEN,BSP,,,72844,,,,,,,,
S24,Uttar Pradesh,5,Deoband,MAVIA ALI,2017,M,46,GEN,SP,,,55385,,,,,,,,
S24,Uttar Pradesh,5,Deoband,BHUPESHWAR TYAGI,2017,M,62,GEN,RLD,,,1132,,,,,,,,
S24,Uttar Pradesh,5,Deoband,None of the Above,2017,,,,NOTA,,,798,,,,,,,,
S24,Uttar Pradesh,5,Deoband,DHARMAVIR,2017,M,62,SC,BMUP,,,651,,,,,,,,
S24,Uttar Pradesh,5,Deoband,RAKESH VERMA,2017,M,37,GEN,BHATARSP,,,598,,,,,,,,
S24,Uttar Pradesh,5,Deoband,UMAR NAWAZ,2017,M,40,GEN,IND,,,415,,,,,,,,
S24,Uttar Pradesh,5,Deoband,ZAHIR FATMA,2017,F,42,GEN,IND,,,239,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,DEVENDER KUMAR NIM,2017,M,47,SC,BJP,,,76465,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,RAVINDRA KUMAR MOLHU,2017,M,47,SC,BSP,,,75870,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,VISHVA DAYAL CHHOTAN,2017,M,36,SC,INC,,,61787,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,None of the Above,2017,,,,NOTA,,,856,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,DAYAWATI CHAUDHRY,2017,F,64,SC,RLD,,,696,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,BIJENDRA,2017,M,50,SC,IND,,,689,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,REKHA,2017,F,38,SC,IND,,,579,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,ARVIND JHANJHOT,2017,M,41,SC,RGD,,,523,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,SURESH KUMAR,2017,M,39,SC,BMUP,,,475,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,ANJU BALA,2017,F,32,SC,BHATARSP,,,391,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,BABY,2017,F,40,SC,KSJP,,,256,,,,,,,,
S24,Uttar Pradesh,6,Rampur Maniharan ,KM.LATA,2017,F,35,SC,IVD,,,244,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,PRADEEP KUMAR,2017,M,46,GEN,BJP,,,99446,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,NAUMAN MASOOD,2017,M,47,GEN,INC,,,61418,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,INDER SAIN,2017,M,51,GEN,SP,,,47219,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,MAHIPAL SINGH MAJRA,2017,M,66,GEN,BSP,,,44717,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,RAJNESH CHAUHAN,2017,M,59,GEN,RLD,,,1054,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,None of the Above,2017,,,,NOTA,,,971,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,YATENDERA,2017,M,44,GEN,IND,,,609,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,SATNAM SINGH,2017,M,63,GEN,SARSAMP,,,579,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,KAWAR PAL,2017,M,52,GEN,IND,,,526,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,VIKAS KUMAR,2017,M,36,GEN,IND,,,475,,,,,,,,
S24,Uttar Pradesh,7,Gangoh,SONU VERMA,2017,M,35,GEN,BHATARSP,,,364,,,,,,,,
S24,Uttar Pradesh,8,Kairana,NAHID HASAN,2017,M,29,GEN,SP,,,98830,,,,,,,,
S24,Uttar Pradesh,8,Kairana,MRIGANKA SINGH,2017,F,57,GEN,BJP,,,77668,,,,,,,,
S24,Uttar Pradesh,8,Kairana,ANIL KUMAR,2017,M,54,GEN,RLD,,,19992,,,,,,,,
S24,Uttar Pradesh,8,Kairana,DIWAKAR DESHWAL,2017,M,29,GEN,BSP,,,6888,,,,,,,,
S24,Uttar Pradesh,8,Kairana,MASEEHULLA,2017,M,40,GEN,AIMIM,,,1365,,,,,,,,
S24,Uttar Pradesh,8,Kairana,SARFARAJ KHAN,2017,M,49,GEN,LD,,,1127,,,,,,,,
S24,Uttar Pradesh,8,Kairana,None of the Above,2017,,,,NOTA,,,1060,,,,,,,,
S24,Uttar Pradesh,8,Kairana,SETHPAL,2017,M,49,GEN,IND,,,623,,,,,,,,
S24,Uttar Pradesh,8,Kairana,DHARMVEER,2017,M,41,GEN,IND,,,545,,,,,,,,
S24,Uttar Pradesh,8,Kairana,VINOD KUMAR,2017,M,51,GEN,IND,,,496,,,,,,,,
S24,Uttar Pradesh,8,Kairana,SAHENDRA PAL,2017,M,38,GEN,BAVAP,,,290,,,,,,,,
S24,Uttar Pradesh,8,Kairana,SANDEEP,2017,M,28,GEN,BMUP,,,250,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,SURESH KUMAR,2017,M,44,GEN,BJP,,,90995,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,ABDUL WARIS KHAN,2017,M,36,GEN,BSP,,,74178,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,JAVED RAO,2017,M,43,GEN,RLD,,,31275,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,SUDHIR KUMAR,2017,M,56,GEN,SP,,,13480,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,None of the Above,2017,,,,NOTA,,,883,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,MOHD NASIR,2017,M,25,GEN,BMUP,,,561,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,RAHAT ALI,2017,M,37,GEN,IND,,,378,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,SUNIL,2017,M,44,GEN,IND,,,318,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,SAHDEV,2017,M,47,GEN,IND,,,225,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,MANJU,2017,F,32,GEN,IND,,,210,,,,,,,,
S24,Uttar Pradesh,9,Thana Bhawan,PARVEZ ALI,2017,M,43,GEN,IND,,,188,,,,,,,,
S24,Uttar Pradesh,10,Shamli,TEJENDRA NIRWAL,2017,M,51,GEN,BJP,,,70085,,,,,,,,
S24,Uttar Pradesh,10,Shamli,PANKAJ KUMAR MALIK,2017,M,38,GEN,INC,,,40365,,,,,,,,
S24,Uttar Pradesh,10,Shamli,BIJENDRA SINGH,2017,M,44,GEN,RLD,,,33551,,,,,,,,
S24,Uttar Pradesh,10,Shamli,MANISH KUMAR,2017,M,34,GEN,IND,,,31824,,,,,,,,
