ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TVTSPOL_IC,POSITION,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,DEVENDER YADAV,M,GEN,43,INC,37419,3,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,RAJESH YADAV,M,GEN,41,BJP,28238,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,RAKESH KUMAR,M,GEN,40,SUCI,947,9,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,ANAND PRAKASH RANA,M,GEN,35,IND,729,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,None of the Above,NULL,NULL,NULL,NOTA,713,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,DR. MD. JAWED HABIB,M,GEN,40,BSP,685,12,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,JAI PAL,M,GEN,40,IND,293,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,HARI OM,M,GEN,44,IND,202,19,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,ANIL SHARMA,M,GEN,48,NCP,169,21,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,DEVENDER YADAV,M,GEN,45,IND,160,22,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,MOHINDER GOYAL,M,GEN,51,AAAP,93470,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,KULWANT RANA,M,GEN,44,BJP,64219,3,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,JAGDISH YADAV,M,GEN,58,INC,5367,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,None of the Above,NULL,NULL,NULL,NOTA,705,9,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,PAWAN KAUSHIK,M,GEN,44,BSP,542,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,ANURAG MISHRA,M,GEN,25,RBHP,266,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,SUMEET KUMAR SINHA,M,GEN,38,SASAPT,156,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,SUNJEET,M,GEN,40,DJP,127,18,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,VIRENDER JHA,M,GEN,52,PBI,126,19,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,6,RITHALA,GEN,JITENDER SINGH,M,SC,26,ASSP,88,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,VED PARKASH,M,SC,41,AAAP,108928,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,GUGAN SINGH,M,SC,66,BJP,58371,3,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,SURENDER KUMAR,M,SC,57,INC,14749,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,GAJANAND,M,SC,44,BSP,3641,8,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,None of the Above,NULL,NULL,NULL,NOTA,866,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,AMOD PASWAN,M,SC,34,bjdi,425,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,7,BAWANA,SC,RAM BABU,M,SC,62,RBHP,364,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,SUKHVIR SINGH,M,GEN,53,AAAP,94206,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,AZAD SINGH,M,GEN,63,BJP,53380,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,REETA,F,GEN,34,INC,13446,7,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,OM PARKASH,M,GEN,51,BSP,778,12,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,None of the Above,NULL,NULL,NULL,NOTA,576,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,RAVI SWAROOP,M,GEN,49,RBHP,550,17,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,UDEY VIR,M,GEN,60,SASAPT,361,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,VIRANDER SINGH,M,GEN,49,IND,341,21,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,RAMBALI SHAH,M,GEN,47,IND,240,25,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,ANIL KUMAR,M,GEN,39,IND,179,28,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,VIJAY KUMAR GARG,M,GEN,45,DJP,157,30,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,JASMER SINGH,M,GEN,39,GaAP,117,31,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,RAJ KUMAR PARIHAR,M,GEN,40,NCP,110,32,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,LAXMI,F,GEN,36,RPI(A),78,33,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,KARAM CHAND LATHWAL,M,GEN,49,BPC,61,34,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,8,MUNDKA,GEN,RAKESH KUMAR SHARMA,M,GEN,29,AIFB,52,35,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,RITURAJ GOVIND,M,GEN,26,AAAP,97727,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,ANIL JHA,M,GEN,40,BJP,52555,3,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,PRATYUSH KANTH,M,GEN,42,INC,2086,7,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,D.N. BHAGAT KUSHWAHA,M,GEN,42,BSP,2021,8,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,AMRESH SHARMA,M,GEN,35,DNP,1499,9,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,None of the Above,NULL,NULL,NULL,NOTA,840,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,PUSPRAJ SINGH,M,GEN,40,IND,763,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,BANSHIDHAR MISHRA,M,GEN,62,HCP,339,18,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,RASAT GARG,M,GEN,41,PHRC,258,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,ABINAV SANJAY PRAJAPATI,M,GEN,39,NCP,224,22,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,9,KIRARI,GEN,RAJINDER KUMAR,M,GEN,38,SHS,173,26,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,SANDEEP KUMAR,M,SC,34,AAAP,80269,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,PARBHU DAYAL,M,SC,35,BJP,15830,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,JAI KISHAN,M,SC,56,INC,15036,7,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,NATHU RAM,M,SC,45,BSP,2838,8,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,GURDAYAL SINGH,M,SC,46,SHS,549,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,None of the Above,NULL,NULL,NULL,NOTA,521,12,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,SONU,M,SC,34,BMUP,309,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,10,SULTANPUR MAJRA,SC,RAMESH KUMAR,O,SC,50,IND,148,16,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,RAGHUVINDER SHOKEEN,M,GEN,48,AAAP,83259,1,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,MANOJ KUMAR SHOKEEN,M,GEN,47,BJP,46235,4,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,DR. BIJENDER SINGH,M,GEN,67,INC,15756,6,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,NARENDER BINDAL,M,GEN,49,IND,3323,7,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,KULWANT RAI BANSAL,M,GEN,59,BSP,1173,9,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,SANDEEP KHATIK,M,SC,25,JD(U),538,12,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,None of the Above,NULL,NULL,NULL,NOTA,517,13,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,RAGHVENDER SINGH,M,GEN,54,IND,410,14,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,MAHESH KUMAR,M,GEN,45,IND,289,15,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,ADARSH SHARMA,M,GEN,35,PMPT,280,16,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,ANIL,M,GEN,28,IND,139,20,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,HARI SHANKAR SHARMA,M,GEN,50,AIFB,131,21,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,DHARAM PAL BHILWARA,M,GEN,57,HCP,103,26,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,ROHTASH SINGH,M,GEN,56,SAAFP,102,27,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,DR. TARUN KUMAR,M,GEN,40,VSP,62,29,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,11,NANGLOI JAT,GEN,RATAN LAL GUPTA (ADVOCATE),M,GEN,38,DJP,58,30,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,RAKHI BIRLA,F,SC,27,AAAP,60534,1,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,RAJ KUMAR CHAUHAN,M,SC,57,INC,37835,3,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,SURJEET KUMAR,M,SC,47,BJP,27889,6,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,DEVENDER KUMAR,M,SC,32,BSP,1659,8,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,None of the Above,NULL,NULL,NULL,NOTA,534,11,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,RAJU,M,SC,36,SHS,330,13,,,,,,,,
U05,NCT OF Delhi,2,2015,WEST                          ,12,MANGOL PURI,SC,VIJAY MAHAROLIYA,M,SC,43,IND,179,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,VIJENDER GUPTA,M,GEN,51,BJP,59866,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,C.L. GUPTA ADVOCATE,M,GEN,60,AAAP,54499,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,SUKHBIR SHARMA,M,GEN,53,INC,3399,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,RAJU,M,GEN,45,DMKP,1406,7,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,None of the Above,NULL,NULL,NULL,NOTA,557,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,DEEPAK KUMAR,M,GEN,33,BSP,349,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,13,ROHINI,GEN,SARABJIT SINGH,M,GEN,32,IND,66,13,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,BANDANA KUMARI,F,GEN,40,AAAP,62656,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,REKHA GUPTA,F,GEN,40,BJP,51678,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,SULEKH AGGARWAL,M,GEN,42,INC,3200,7,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,LALIT KUMAR GAUTAM,M,SC,34,BSP,892,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,None of the Above,NULL,NULL,NULL,NOTA,627,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,AVINASH KUMAR JHA,M,GEN,49,IND,430,12,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,HARISH CHANDER TIWARI,M,GEN,63,IND,286,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,ASHOK KUMAR,M,GEN,35,IND,219,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,WAJID ALI,M,GEN,57,IND,90,17,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,14,SHALIMAR BAGH,GEN,CA SATISH SINGAL,M,GEN,54,IND,86,18,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,SATYENDAR JAIN,M,GEN,50,AAAP,51530,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,S C VATS,M,GEN,69,BJP,48397,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,CHAMAN LAL SHARMA,M,GEN,62,INC,4812,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,None of the Above,NULL,NULL,NULL,NOTA,438,9,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,DR. AMAR NATH YADAV,M,GEN,66,kajp,234,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,LAXMAN,M,GEN,49,BSP,233,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,SAPNA SHARMA,F,GEN,42,NADP,103,18,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,JUGAL KISHOR,M,GEN,42,IND,87,19,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,15,SHAKUR BASTI,GEN,SUNITA SACHDEVA,F,GEN,49,DJP,53,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,JITENDER SINGH TOMAR,M,GEN,48,AAAP,63012,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,NAND KISHORE GARG,M,GEN,66,BJP,40701,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,ANIL BHARDWAJ,M,GEN,48,INC,7939,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,None of the Above,NULL,NULL,NULL,NOTA,407,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,NITYA NAND SINGH,M,GEN,40,BSP,317,12,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,LALITA AGARWAL,F,GEN,51,IND,275,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,KHALID ALI,M,GEN,34,IND,139,18,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,MOHAMMAD SALEEM,M,GEN,26,NCP,101,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,NEELAM NIGAM,F,GEN,28,JD(U),80,24,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,NANDKISHOR PRASAD YADAV,M,GEN,31,IND,61,28,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,AMIT KUMAR,M,SC,38,IND,33,29,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,16,TRI NAGAR,GEN,SANDEEP KANSAL,M,GEN,25,SHS,28,30,,,,,,,,
