ST_NAME,PC_NAME,PC_NO,CANDIDATE,PARTY,VOTES
Andhra Pradesh,Amalapuram (SC),7,G M HARISH (BALAYOGI),TDP,796981
Andhra Pradesh,Amalapuram (SC),7,RAPAKA VARAPRASADA RAO,YSRCP,454785
Andhra Pradesh,Amalapuram (SC),7,GOUTHAM JANGA,INC,15082
Andhra Pradesh,Amalapuram (SC),7,DORABABU YALLA,BSP,5388
Andhra Pradesh,Amalapuram (SC),7,KATRU NAGA BABU,OTH,3741
Andhra Pradesh,Amalapuram (SC),7,VADDI LALITH KUMAR,IND,2977
Andhra Pradesh,Amalapuram (SC),7,MAKEY DAVY PRASAD,IND,2111
Andhra Pradesh,Amalapuram (SC),7,GUDE VENKATESWARULU,IND,1745
Andhra Pradesh,Amalapuram (SC),7,RAMESH JILLELLA,OTH,872
Andhra Pradesh,Amalapuram (SC),7,YALANGI RAMESH,OTH,740
Andhra Pradesh,Amalapuram (SC),7,MATHA KRISHNA,OTH,719
Andhra Pradesh,Amalapuram (SC),7,GIDDI JNANA PRAKASA RAO,OTH,726
Andhra Pradesh,Amalapuram (SC),7,YADLA RAJESH,OTH,635
Andhra Pradesh,Amalapuram (SC),7,KAPA KALYAN,OTH,581
Andhra Pradesh,Amalapuram (SC),7,PATHURI RAMESH,OTH,505
Andhra Pradesh,Amalapuram (SC),7,NOTA,NOTA,13518
Andhra Pradesh,Anakapalle,5,C.M.RAMESH,BJP,762069
Andhra Pradesh,Anakapalle,5,BUDI MUTYALA NAIDU,YSRCP,465539
Andhra Pradesh,Anakapalle,5,VEGI VENKATESH,INC,25651
Andhra Pradesh,Anakapalle,5,PALAKA SREERAMA MURTHY,BSP,19157
Andhra Pradesh,Anakapalle,5,VANKAYALA RAMACHANDRA RAO,IND,4002
Andhra Pradesh,Anakapalle,5,LOVARAJU SIDDHA,IND,3852
Andhra Pradesh,Anakapalle,5,KRISHNA SWAROOP VADLAMURI,OTH,3557
Andhra Pradesh,Anakapalle,5,GARA SURYA RAO,IND,3124
Andhra Pradesh,Anakapalle,5,APPALA RAJU NAMMI,OTH,2619
Andhra Pradesh,Anakapalle,5,NAGESWARA RAO PETLA,IND,2184
Andhra Pradesh,Anakapalle,5,ADARI SARAT CHANDRA,OTH,1913
Andhra Pradesh,Anakapalle,5,VIJAYA LAKSHMI KARRI,OTH,1591
Andhra Pradesh,Anakapalle,5,DR. THUMMAPALA HARI  SHANKAR,IND,1576
Andhra Pradesh,Anakapalle,5,JUNNURI J SRINIVAS,IND,1201
Andhra Pradesh,Anakapalle,5,APPALANAIDU TUMMAGUNTA,IND,1062
Andhra Pradesh,Anakapalle,5,NOTA,NOTA,26235
Andhra Pradesh,Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,TDP,768245
Andhra Pradesh,Ananthapur,19,MALAGUNDLA SANKAR NARAYANA,YSRCP,579690
Andhra Pradesh,Ananthapur,19,MALLIKARJUNA VAJJALA,INC,43217
Andhra Pradesh,Ananthapur,19,G.V.RAMANA REDDY,IND,6439
Andhra Pradesh,Ananthapur,19,BANASI NARAYANAPPA,BSP,6396
Andhra Pradesh,Ananthapur,19,V.MURALI PRASAD REDDY,IND,5778
Andhra Pradesh,Ananthapur,19,DR.NALLANI RAMESH NAIDU,OTH,4989
Andhra Pradesh,Ananthapur,19,M.SURENDRA,OTH,2935
Andhra Pradesh,Ananthapur,19,U.C.VENKATASUBBAIAH,OTH,2540
Andhra Pradesh,Ananthapur,19,P.CHOWDESWARI,IND,1518
Andhra Pradesh,Ananthapur,19,VADLA KESAVAIAH,IND,1494
Andhra Pradesh,Ananthapur,19,B.RAGHAVENDRA PRASAD,IND,1318
Andhra Pradesh,Ananthapur,19,KETHIREDDY RAGHUNATHAREDDY,IND,1091
Andhra Pradesh,Ananthapur,19,LOKANATH GOWD SURAGOWINI,IND,1091
Andhra Pradesh,Ananthapur,19,SREERANGARAJULA GOPINATH ROYAL,IND,904
Andhra Pradesh,Ananthapur,19,SHAIK.NIZAM,SP,753
Andhra Pradesh,Ananthapur,19,RAMAVTH CHINNA RAMAPPA NAIK,OTH,745
Andhra Pradesh,Ananthapur,19,KURUBA MALLIKARJUNA.S.,OTH,578
Andhra Pradesh,Ananthapur,19,B.NAGAMUTHYALU,OTH,570
Andhra Pradesh,Ananthapur,19,SRINIVASA RAJU.O,OTH,494
Andhra Pradesh,Ananthapur,19,DURGA PRASAD D BYATARAYANAJI,OTH,444
Andhra Pradesh,Ananthapur,19,NOTA,NOTA,9199
Andhra Pradesh,Araku (ST),1,GUMMA THANUJA RANI,YSRCP,477005
Andhra Pradesh,Araku (ST),1,KOTHAPALLI GEETHA,BJP,426425
Andhra Pradesh,Araku (ST),1,APPALANARASA PACHIPENTA,CPM,123129
Andhra Pradesh,Araku (ST),1,AVASHYA LAHARI . VARAM,BSP,25750
Andhra Pradesh,Araku (ST),1,SAMAREDDY BALAKRISHNA,IND,9535
Andhra Pradesh,Araku (ST),1,NIMMAKA JAYARAJU,IND,9462
Andhra Pradesh,Araku (ST),1,ATHIDHI,IND,8136
Andhra Pradesh,Araku (ST),1,CHANTI BADNAINA,OTH,7252
Andhra Pradesh,Araku (ST),1,MOTTADAM . RAJABABU,OTH,6766
Andhra Pradesh,Araku (ST),1,RANJITH KUMAR PALAKA,IND,6047
Andhra Pradesh,Araku (ST),1,RAMBABU JALLI,OTH,4959
Andhra Pradesh,Araku (ST),1,MANDALA GIRIDHARA RAO,IND,4967
Andhra Pradesh,Araku (ST),1,VUYAKA NIREEKSHAN  (V. CHENCHU),OTH,4542
Andhra Pradesh,Araku (ST),1,NOTA,NOTA,50470
Andhra Pradesh,Bapatla (SC),15,KRISHNA PRASAD TENNETI,TDP,717493
Andhra Pradesh,Bapatla (SC),15,NANDIGAM SURESH BABU,YSRCP,509462
Andhra Pradesh,Bapatla (SC),15,J.D. SEELAM,INC,43259
Andhra Pradesh,Bapatla (SC),15,DOKKA JAGAN MOHANA RAO,BSP,6857
Andhra Pradesh,Bapatla (SC),15,NALAMALA TIRUPATI RAO,OTH,2964
Andhra Pradesh,Bapatla (SC),15,BUSSA. NAGARAJU,IND,1318
Andhra Pradesh,Bapatla (SC),15,GADDE. VIJAYA LAKSHMI,IND,1051
Andhra Pradesh,Bapatla (SC),15,KATTAPOGU. VIJAY KUMAR,OTH,897
Andhra Pradesh,Bapatla (SC),15,KONDRU KIRAN KUMAR,IND,797
Andhra Pradesh,Bapatla (SC),15,KATTA ANAND BABU,IND,729
Andhra Pradesh,Bapatla (SC),15,MERUGUPALA SADASIVA RAO,OTH,673
Andhra Pradesh,Bapatla (SC),15,KATTA HEMANAND,IND,549
Andhra Pradesh,Bapatla (SC),15,PARRE. KOTAIAH,OTH,412
Andhra Pradesh,Bapatla (SC),15,PALADUG VIJENDRA RAO (BAHUJAN),OTH,306
Andhra Pradesh,Bapatla (SC),15,CHINNAM MURALIDHAR,OTH,255
Andhra Pradesh,Bapatla (SC),15,NOTA,NOTA,13723
Andhra Pradesh,Chittoor(SC),25,DAGGUMALLA PRASADA RAO,TDP,778071
Andhra Pradesh,Chittoor(SC),25,REDDEPPA.N .,YSRCP,557592
Andhra Pradesh,Chittoor(SC),25,MOTUKUR JAGAPATHI,INC,30150
Andhra Pradesh,Chittoor(SC),25,THOGURU VIJAYA KUMAR,BSP,13511
Andhra Pradesh,Chittoor(SC),25,YUGANDAR . KONDA,IND,6973
Andhra Pradesh,Chittoor(SC),25,K.MUNI KRISHNA,IND,3956
Andhra Pradesh,Chittoor(SC),25,P.JANAKI RAMA RAO ( BABU),OTH,2833
Andhra Pradesh,Chittoor(SC),25,PETA.MOHAN .,IND,2366
Andhra Pradesh,Chittoor(SC),25,C.SUDHAKAR,IND,1935
Andhra Pradesh,Chittoor(SC),25,N.CHANDRABABU,IND,1885
Andhra Pradesh,Chittoor(SC),25,MADASI SUDHARSHAN,IND,1578
Andhra Pradesh,Chittoor(SC),25,D.MAHESH,IND,1119
Andhra Pradesh,Chittoor(SC),25,P.MADHU,IND,906
Andhra Pradesh,Chittoor(SC),25,N.BHUPATHI,IND,894
Andhra Pradesh,Chittoor(SC),25,A. PURNA CHANDRA,IND,857
Andhra Pradesh,Chittoor(SC),25,PALLIPATTU.ABHINAV VISHNU,SP,676
Andhra Pradesh,Chittoor(SC),25,N.GANGAIAH .,IND,552
Andhra Pradesh,Chittoor(SC),25,T NARESH,IND,534
Andhra Pradesh,Chittoor(SC),25,BANDAPALLI RAMESH,IND,493
Andhra Pradesh,Chittoor(SC),25,NOTA,NOTA,11976
Andhra Pradesh,Eluru,10,PUTTA MAHESH KUMAR,TDP,746351
Andhra Pradesh,Eluru,10,KARUMURI SUNIL KUMAR,YSRCP,564494
Andhra Pradesh,Eluru,10,KAVURI LAVANYA,INC,20826
Andhra Pradesh,Eluru,10,AJAY BABU BODA,OTH,12210
Andhra Pradesh,Eluru,10,NITTA AKHILA DHARANI PAL,BSP,6732
Andhra Pradesh,Eluru,10,BOKINALA KOTESWARA RAO,IND,2263
Andhra Pradesh,Eluru,10,RUDRAPAKA RATNA RAO (R.R.R),OTH,1526
Andhra Pradesh,Eluru,10,KANDAVALLI JEEVA DEVA DAYAKAR,IND,1180
Andhra Pradesh,Eluru,10,AGASTEEN KOMMINA,IND,1004
Andhra Pradesh,Eluru,10,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),OTH,786
Andhra Pradesh,Eluru,10,RAJESWARA RAO KONDRU,OTH,732
Andhra Pradesh,Eluru,10,GODUGUPATI VEERA RAGHAVULU,OTH,715
Andhra Pradesh,Eluru,10,BYRABOYINA MALYADRI,OTH,715
Andhra Pradesh,Eluru,10,NOTA,NOTA,22515
Andhra Pradesh,Guntur,13,DR CHANDRA SEKHAR PEMMASANI,TDP,864948
Andhra Pradesh,Guntur,13,KILARI VENKATA ROSAIAH,YSRCP,520253
Andhra Pradesh,Guntur,13,JANGALA AJAY KUMAR,CPI,8637
Andhra Pradesh,Guntur,13,SIVAREDDY. ENDREDDY,OTH,5629
Andhra Pradesh,Guntur,13,TENALI PRAKASH,BSP,4272
Andhra Pradesh,Guntur,13,SIKHAKOLLI HEMA GOWRI SHANKAR,OTH,1964
Andhra Pradesh,Guntur,13,SAMUDRALA CHINNA KOTAIAH,OTH,1753
Andhra Pradesh,Guntur,13,UMAR BHASHA SHAIK,OTH,1275
Andhra Pradesh,Guntur,13,SYED. SAIDA,OTH,1222
Andhra Pradesh,Guntur,13,AMBATI CHALAMAIAH,OTH,1031
Andhra Pradesh,Guntur,13,PILLI BABU RAO,IND,692
Andhra Pradesh,Guntur,13,HARI VENKATA SATISH  KURNALA,OTH,542
Andhra Pradesh,Guntur,13,VISHNU REDDY LANKIREDDY,OTH,461
Andhra Pradesh,Guntur,13,EMANI. CHANDRASEKHAR RAO,OTH,414
Andhra Pradesh,Guntur,13,SHAIK. KHAJAVALI,IND,391
Andhra Pradesh,Guntur,13,CHALLAPALLI RATAN RAJU,OTH,378
Andhra Pradesh,Guntur,13,KANNEBOYINA VAMSI KRISHNA YADAV,IND,375
Andhra Pradesh,Guntur,13,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,OTH,358
Andhra Pradesh,Guntur,13,GAYATRI AUDHIPUDI,IND,357
Andhra Pradesh,Guntur,13,ASHOK ANAND GALI,IND,335
Andhra Pradesh,Guntur,13,SHAIK ASLAM AKTHER,IND,335
Andhra Pradesh,Guntur,13,PATHAN KHAJA (BASHA),OTH,332
Andhra Pradesh,Guntur,13,AMARTHALURI VENKATESWARA RAO.,OTH,312
Andhra Pradesh,Guntur,13,DR. RAYAPUDI RAJESH VIJAY KUMAR,OTH,310
Andhra Pradesh,Guntur,13,BURAGA RATNAM,OTH,316
Andhra Pradesh,Guntur,13,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,IND,268
Andhra Pradesh,Guntur,13,SIVA PARVATHI,IND,266
Andhra Pradesh,Guntur,13,BOMMASANI MUTYALA RAO,OTH,207
Andhra Pradesh,Guntur,13,SRIKRISHNA AKKISETTI,IND,179
Andhra Pradesh,Guntur,13,MADAVARAPU NAGA RAJU,IND,172
Andhra Pradesh,Guntur,13,NOTA,NOTA,7387
Andhra Pradesh,Hindupur,20,B K PARTHASARATHI,TDP,725534
Andhra Pradesh,Hindupur,20,J SHANTHA,YSRCP,593107
Andhra Pradesh,Hindupur,20,B A SAMAD SHAHEEN,INC,55059
Andhra Pradesh,Hindupur,20,BHAGYA R S,BSP,8015
Andhra Pradesh,Hindupur,20,PRATHAP REDDY GORLA,IND,5444
Andhra Pradesh,Hindupur,20,H D HANUMANTHE GOWD,IND,2278
Andhra Pradesh,Hindupur,20,ANJINAPPA GARI SREENIVASULU,RSP,2051
Andhra Pradesh,Hindupur,20,S N SURESH,IND,1631
Andhra Pradesh,Hindupur,20,DASAGANIPALLI KULLAYAPPA,IND,1328
Andhra Pradesh,Hindupur,20,ASHOK,OTH,1292
Andhra Pradesh,Hindupur,20,T SUDHAKAR REDDY,IND,1237
Andhra Pradesh,Hindupur,20,S RAGHUNATHA REDDY,IND,710
Andhra Pradesh,Hindupur,20,BUDILI DHANUNJAYA,OTH,682
Andhra Pradesh,Hindupur,20,NOTA,NOTA,17971
Andhra Pradesh,Kadapa,21,Y. S. AVINASH REDDY,YSRCP,605143
Andhra Pradesh,Kadapa,21,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,TDP,542448
Andhra Pradesh,Kadapa,21,Y.S. SHARMILA REDDY,INC,141039
Andhra Pradesh,Kadapa,21,PANDITI. GURAPPA.,BSP,3810
Andhra Pradesh,Kadapa,21,VENU GOPAL RACHINENI,OTH,3570
Andhra Pradesh,Kadapa,21,CHINNAPUREDDY GOPALA KRISHNA REDDY,IND,2430
Andhra Pradesh,Kadapa,21,KUNCHAM. VENKATA SUBBA REDDY,OTH,2333
Andhra Pradesh,Kadapa,21,L. KHAJA HUSSAIN,IND,1088
Andhra Pradesh,Kadapa,21,ANKIREDDY. SURESH KUMAR REDDY.,AIFB,755
Andhra Pradesh,Kadapa,21,KAKARLA SHANMUKHA REDDY,IND,647
Andhra Pradesh,Kadapa,21,PALLE RAMESH,OTH,624
Andhra Pradesh,Kadapa,21,CHAN BASHA. S,OTH,439
Andhra Pradesh,Kadapa,21,J. V. RAMANA,OTH,434
Andhra Pradesh,Kadapa,21,MALIKIREDDY. HANUMANTHA REDDY,OTH,369
Andhra Pradesh,Kadapa,21,NOTA,NOTA,16846
Andhra Pradesh,Kakinada,6,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),OTH,729699
Andhra Pradesh,Kakinada,6,CHALAMALASETTY SUNIL,YSRCP,500208
Andhra Pradesh,Kakinada,6,MALLIPUDI MANGAPATI PALLAM RAJU,INC,21109
Andhra Pradesh,Kakinada,6,UDAY,OTH,15703
Andhra Pradesh,Kakinada,6,KANDREGULA NARASIMHAM,BSP,11979
Andhra Pradesh,Kakinada,6,DR ANUSHA YADAV,OTH,9854
Andhra Pradesh,Kakinada,6,TANGELLA SRINIVASU,OTH,6559
Andhra Pradesh,Kakinada,6,YEDIDA VARA PRASAD KUMAR,OTH,3927
Andhra Pradesh,Kakinada,6,BUGATHA BANGARRAO,CPI(ML)(L),2823
Andhra Pradesh,Kakinada,6,SUDHA VEERA GANESH,IND,2647
Andhra Pradesh,Kakinada,6,BHAVANI SANKAR PRASAD MERLA,IND,1969
Andhra Pradesh,Kakinada,6,YENUGUPALLI KRISHNA,OTH,1780
Andhra Pradesh,Kakinada,6,BODDETI APPARAO,IND,1687
Andhra Pradesh,Kakinada,6,NEELAKANTAM DONAM,IND,1412
Andhra Pradesh,Kakinada,6,PASUPULETI S.V.S.BHUSHANAM,IND,1227
Andhra Pradesh,Kakinada,6,NOTA,NOTA,17220
Andhra Pradesh,Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,TDP,658914
Andhra Pradesh,Kurnoolu,18,B Y RAMAIAH,YSRCP,547616
Andhra Pradesh,Kurnoolu,18,P.G.RAMPULLAIAH YADAV LUCKY-2,INC,70373
Andhra Pradesh,Kurnoolu,18,MANCHALA LAKSHMI NARAYANA,BSP,8589
Andhra Pradesh,Kurnoolu,18,BOYA SURESH,IND,5900
Andhra Pradesh,Kurnoolu,18,T. BEECHUPALLI,IND,5127
Andhra Pradesh,Kurnoolu,18,VIJAYA BHASKAR .REDDYPOGU,IND,3508
Andhra Pradesh,Kurnoolu,18,PAGADALA KODANDA,IND,3076
Andhra Pradesh,Kurnoolu,18,DEVARAPOGU MADDILETY,IND,2582
Andhra Pradesh,Kurnoolu,18,PRAKASH REDDY RALAMPADU,IND,2225
Andhra Pradesh,Kurnoolu,18,JAHANGIR AHMED,OTH,2074
Andhra Pradesh,Kurnoolu,18,DR. REDDYPOGU PRAVEEN KUMAR,IND,1856
Andhra Pradesh,Kurnoolu,18,ABDUL SATTAR  A.S.R,OTH,1601
Andhra Pradesh,Kurnoolu,18,VALMIKI ARJUNA,OTH,1390
Andhra Pradesh,Kurnoolu,18,URUKUNDU VADDE,IND,1295
Andhra Pradesh,Kurnoolu,18,MALLEPOGU NAGANNA,OTH,1164
Andhra Pradesh,Kurnoolu,18,SUNKARA SREEDHAR,OTH,1163
Andhra Pradesh,Kurnoolu,18,TARIGOPULA RAJABABU,OTH,1033
Andhra Pradesh,Kurnoolu,18,AMRUTH KUMAR SALKAPURAM,OTH,783
Andhra Pradesh,Kurnoolu,18,NOTA,NOTA,10511
Andhra Pradesh,Machilipatnam,11,BALASHOWRY VALLABHANENI,OTH,724439
Andhra Pradesh,Machilipatnam,11,SIMHADRI CHANDRA SEKHAR RAO,YSRCP,501260
Andhra Pradesh,Machilipatnam,11,GOLLU KRISHNA,INC,31825
Andhra Pradesh,Machilipatnam,11,BAAL SHOURI CHODABATHINA,OTH,11141
Andhra Pradesh,Machilipatnam,11,DEVAMANI DEVARAPALLI,BSP,10028
Andhra Pradesh,Machilipatnam,11,KOMMARAJU SIVA NARASIMHA RAO,AIFB,5254
Andhra Pradesh,Machilipatnam,11,VALLABHANENI NAGA PAVAN KUMAR,IND,5220
Andhra Pradesh,Machilipatnam,11,MARADANI K R SWAMY,OTH,2214
Andhra Pradesh,Machilipatnam,11,GANDHI  DHANEKULA,IND,1991
Andhra Pradesh,Machilipatnam,11,PAMULA BALA SOWRYAMMA,IND,1582
Andhra Pradesh,Machilipatnam,11,ANUSHA YERUVA,IND,1235
Andhra Pradesh,Machilipatnam,11,GUDAVALLI VENKATA KEDARESWARA RAO,IND,1111
Andhra Pradesh,Machilipatnam,11,JOGI VEERANJANEYULU,IND,1022
Andhra Pradesh,Machilipatnam,11,DAMODARA RAO GUDAVALLI,IND,930
Andhra Pradesh,Machilipatnam,11,APPARAO ENNETI,IND,626
Andhra Pradesh,Machilipatnam,11,NOTA,NOTA,12126
Andhra Pradesh,Nandyal,17,DR BYREDDY SHABARI,TDP,701131
Andhra Pradesh,Nandyal,17,POCHA BRAHMANANDA REDDY,YSRCP,589156
Andhra Pradesh,Nandyal,17,J LAKSHMI NARASIMHA YADAV,INC,56204
Andhra Pradesh,Nandyal,17,P GURUVAIAH,IND,8191
Andhra Pradesh,Nandyal,17,A CHINNA MOULALI,BSP,7831
Andhra Pradesh,Nandyal,17,HAFIZ ATAULLAH KHAN,OTH,6932
Andhra Pradesh,Nandyal,17,KOMMUSANI PEDDA KAMBAGIRI SWAMY,IND,4633
Andhra Pradesh,Nandyal,17,GAGGERA VENKATA RAMANAIAH,IND,3031
Andhra Pradesh,Nandyal,17,DUMAVATH SWAMY NAIK,IND,2358
Andhra Pradesh,Nandyal,17,KUNUKUNTLA RAMUDU,IND,1413
Andhra Pradesh,Nandyal,17,E ANIL KUMAR,IND,1334
Andhra Pradesh,Nandyal,17,C SURENDRA NATHA REDDY,IND,1268
Andhra Pradesh,Nandyal,17,BRAHMANANDA REDDY K,IND,1272
Andhra Pradesh,Nandyal,17,UPPU SUBBARAYUDU,OTH,791
Andhra Pradesh,Nandyal,17,NAGESWARA RAO,IND,680
Andhra Pradesh,Nandyal,17,VIJAYA BHASKAR REDDYPOGU,IND,641
Andhra Pradesh,Nandyal,17,YELAMPALLE GOVARDHAN REDDY,AIFB,642
Andhra Pradesh,Nandyal,17,BHUMA VEERA BHADRA REDDY,OTH,646
Andhra Pradesh,Nandyal,17,PANDU RANGA YADAV SIDDAPU,SP,605
Andhra Pradesh,Nandyal,17,CHANDINI REDDY VAKATI,OTH,556
Andhra Pradesh,Nandyal,17,B C RAMANADHA AREDDY,IND,472
Andhra Pradesh,Nandyal,17,GAJULA SHALIMIYA,OTH,486
Andhra Pradesh,Nandyal,17,KULURU RAMA KRISHNA REDDY,OTH,430
Andhra Pradesh,Nandyal,17,CH P MALLESWARUDU,IND,421
Andhra Pradesh,Nandyal,17,I V PAKKIR REDDY,IND,410
Andhra Pradesh,Nandyal,17,V MADHUSUDHANA REDDY,IND,401
Andhra Pradesh,Nandyal,17,BUSHAKU MAHESWARA REDDY,IND,390
Andhra Pradesh,Nandyal,17,U P MUNI REDDY,IND,376
Andhra Pradesh,Nandyal,17,GOGULA SUGUNAMMA,OTH,379
Andhra Pradesh,Nandyal,17,BELLAMKONDA SREENIVASULU,IND,353
Andhra Pradesh,Nandyal,17,BALIJA SHIVA KUMAR,IND,288
Andhra Pradesh,Nandyal,17,NOTA,NOTA,10697
Andhra Pradesh,Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BJP,707343
Andhra Pradesh,Narsapuram,9,UMABALA GUDURI,YSRCP,430541
Andhra Pradesh,Narsapuram,9,K.B.R.NAIDU,INC,35213
Andhra Pradesh,Narsapuram,9,PRASANNA KUMAR UNDURTHI,IND,6364
Andhra Pradesh,Narsapuram,9,MEDAPATI VENKATA VARAHALA REDDY,IND,5969
Andhra Pradesh,Narsapuram,9,SIRRA RAJU,BSP,6014
Andhra Pradesh,Narsapuram,9,BALAGAM NAYAKAR,IND,5240
Andhra Pradesh,Narsapuram,9,NALLI RAJESH,IND,4684
Andhra Pradesh,Narsapuram,9,KETHA SREENU,IND,3145
Andhra Pradesh,Narsapuram,9,OLETY NAGENDRA KRISHNA,OTH,3116
Andhra Pradesh,Narsapuram,9,ADDEPALLI VEERA VENKAT SUBBA RAO,IND,2783
Andhra Pradesh,Narsapuram,9,ANAND CHANDULAL JASTI,IND,2726
Andhra Pradesh,Narsapuram,9,GANJI PURNIMA,OTH,1649
Andhra Pradesh,Narsapuram,9,GEDALA LAXMANA RAO,IND,1527
Andhra Pradesh,Narsapuram,9,ADDANKI DORABABU,IND,1393
Andhra Pradesh,Narsapuram,9,GOTTUMUKKALA SHIVAJI,IND,1384
Andhra Pradesh,Narsapuram,9,ADINARAYANA DUPPANAPUDI,IND,1007
Andhra Pradesh,Narsapuram,9,MANNE LEELA RAMA NARENDRA,OTH,930
Andhra Pradesh,Narsapuram,9,RAMA DURGA PRASAD THOLETI,IND,920
Andhra Pradesh,Narsapuram,9,RUKHMINI,IND,686
Andhra Pradesh,Narsapuram,9,ADABALA SIVA,IND,683
Andhra Pradesh,Narsapuram,9,NOTA,NOTA,7677
Andhra Pradesh,Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,TDP,807996
Andhra Pradesh,Narsaraopet,14,ANIL KUMAR POLUBOINA,YSRCP,648267
Andhra Pradesh,Narsaraopet,14,GARNEPUDI ALEXANDER SUDHAKAR,INC,18046
Andhra Pradesh,Narsaraopet,14,ORSU PREMARAJU,BSP,5309
Andhra Pradesh,Narsaraopet,14,KUCHIPUDI JOHN BABU,OTH,2336
Andhra Pradesh,Narsaraopet,14,GARLAPATI SUBHASH PREM,RSP,1245
Andhra Pradesh,Narsaraopet,14,YAMPATI VEERANJANEYA REDDY,IND,1057
Andhra Pradesh,Narsaraopet,14,SUBBARAO CHALLA,IND,1051
Andhra Pradesh,Narsaraopet,14,ABDUL RAJAK SHAIK,IND,723
Andhra Pradesh,Narsaraopet,14,KOTA POTHURAJU,OTH,670
Andhra Pradesh,Narsaraopet,14,P VENKATESH,OTH,388
Andhra Pradesh,Narsaraopet,14,PASUPULETI PICHAIAH,OTH,356
Andhra Pradesh,Narsaraopet,14,PAPPULA SAMBASIVA RAO,OTH,332
Andhra Pradesh,Narsaraopet,14,DOCTOR GODA RAMESH KUMAR,OTH,309
Andhra Pradesh,Narsaraopet,14,THOKALA NAGA RAJU,AIFB,285
Andhra Pradesh,Narsaraopet,14,NOTA,NOTA,11199
Andhra Pradesh,Nellore,22,PRABHAKAR REDDY VEMIREDDY,TDP,766202
Andhra Pradesh,Nellore,22,VENUMBAKA VIJAYASAI REDDY,YSRCP,520300
Andhra Pradesh,Nellore,22,KOPPULA RAJU,INC,54844
Andhra Pradesh,Nellore,22,BHASKAR NASINA,BSP,5811
Andhra Pradesh,Nellore,22,VIVEKA MANNEPALLI,RSP,2804
Andhra Pradesh,Nellore,22,KOPPALA RAGHU,IND,2015
Andhra Pradesh,Nellore,22,GAJULA SOMA SEKHAR,OTH,1779
Andhra Pradesh,Nellore,22,SHAIK MUZIBUR RAHAMAN,OTH,1330
Andhra Pradesh,Nellore,22,SHAIK MAHABOOB BASHA (MABU),OTH,1233
Andhra Pradesh,Nellore,22,MALLEPALLY RAGHU,OTH,1105
Andhra Pradesh,Nellore,22,SHAIK SHAFI AHMED,AIFB,1037
Andhra Pradesh,Nellore,22,NAKKA DINESH,OTH,600
Andhra Pradesh,Nellore,22,TALARI VENKATAIAH,OTH,558
Andhra Pradesh,Nellore,22,PUNGANURU PRASANNA GANAPATHI,OTH,454
Andhra Pradesh,Nellore,22,NOTA,NOTA,15577
Andhra Pradesh,Ongole,16,MAGUNTA SREENIVASULU REDDY,TDP,701894
Andhra Pradesh,Ongole,16,DR CHEVIREDDY BHASKAR REDD,YSRCP,651695
Andhra Pradesh,Ongole,16,EDA SUDHAKARA REDDY,INC,26722
Andhra Pradesh,Ongole,16,DHARANIKOTA LAKSHMI NARAYANA,BSP,6314
Andhra Pradesh,Ongole,16,BUCHI EDUKONDALU,IND,3048
Andhra Pradesh,Ongole,16,PODILI RAMBABU,IND,3073
Andhra Pradesh,Ongole,16,ORSU VEENA,OTH,2267
Andhra Pradesh,Ongole,16,BONTHA RANGA REDDY,IND,1923
Andhra Pradesh,Ongole,16,BODDU KRANTHI KUMAR,IND,1798
Andhra Pradesh,Ongole,16,MOHAN GOUD J V,IND,1447
Andhra Pradesh,Ongole,16,U MADHU BABU,IND,1008
Andhra Pradesh,Ongole,16,KARATAPU RAJU,IND,735
Andhra Pradesh,Ongole,16,JAGADEESH RAYAPATI,IND,725
Andhra Pradesh,Ongole,16,DEVIREDDY BALANJANEYULU,IND,716
Andhra Pradesh,Ongole,16,HARI PRASAD TUPAKULA,IND,711
Andhra Pradesh,Ongole,16,PASAM VENKATESWARLU YADAV,SP,743
Andhra Pradesh,Ongole,16,SURYA TEJA KOTA,OTH,683
Andhra Pradesh,Ongole,16,AKUMALLA MALLIKARJUNA REDDY,IND,575
Andhra Pradesh,Ongole,16,VESHAPOGU GURAVABABU,IND,461
Andhra Pradesh,Ongole,16,KOMMU YOHANU,OTH,461
Andhra Pradesh,Ongole,16,SESHUBABU GUDDANTI,IND,449
Andhra Pradesh,Ongole,16,SINGAMNENI SREEKANTH,IND,410
Andhra Pradesh,Ongole,16,YARRA DASARADHARAMAIAH,IND,394
Andhra Pradesh,Ongole,16,KOTA VAMSI KRISHNA,IND,365
Andhra Pradesh,Ongole,16,K PAVAN KALYAN,OTH,392
Andhra Pradesh,Ongole,16,NOTA,NOTA,13205
Andhra Pradesh,Rajahmundry,8,DAGGUBATI PURANDHESHWARI,BJP,726515
Andhra Pradesh,Rajahmundry,8,DR. GUDURI SRINIVAS,YSRCP,487376
